    15.0    25.0    50.0    75.0   100.0   150.0   200.0   300.0
   77   13   11  3.6E-12  3.6E-12  3.9E-12  4.3E-12  4.7E-12  5.6E-12  6.4E-12  8.0E-12
   78   13   12  1.4E-10  1.4E-10  1.4E-10  1.5E-10  1.5E-10  1.6E-10  1.8E-10  2.0E-10
   79   14    1  4.4E-14  4.6E-14  5.4E-14  6.6E-14  8.3E-14  1.3E-13  1.9E-13  3.5E-13
   80   14    2  1.7E-13  1.8E-13  2.1E-13  2.4E-13  2.9E-13  3.9E-13  5.0E-13  7.3E-13
   81   14    3  2.4E-12  2.5E-12  2.8E-12  3.0E-12  3.2E-12  3.6E-12  4.0E-12  4.6E-12
   82   14    4  9.6E-13  9.8E-13  1.1E-12  1.2E-12  1.3E-12  1.6E-12  1.9E-12  2.5E-12
   83   14    5  1.7E-12  1.7E-12  1.9E-12  2.2E-12  2.5E-12  3.2E-12  4.0E-12  5.6E-12
   84   14    6  8.9E-13  9.8E-13  1.2E-12  1.5E-12  1.8E-12  2.4E-12  3.1E-12  4.5E-12
   85   14    7  8.5E-12  8.5E-12  8.8E-12  9.2E-12  9.6E-12  1.0E-11  1.1E-11  1.3E-11
   86   14    8  5.4E-12  5.5E-12  6.0E-12  6.8E-12  7.9E-12  1.0E-11  1.3E-11  1.8E-11
   87   14    9  4.6E-11  4.7E-11  4.8E-11  5.1E-11  5.5E-11  6.1E-11  6.8E-11  8.0E-11
   88   14   10  2.3E-11  2.3E-11  2.4E-11  2.6E-11  2.8E-11  3.1E-11  3.5E-11  4.0E-11
   89   14   11  3.1E-12  3.2E-12  3.8E-12  4.6E-12  5.4E-12  7.2E-12  9.2E-12  1.4E-11
   90   14   12  2.2E-13  2.3E-13  2.9E-13  3.7E-13  4.6E-13  6.8E-13  9.4E-13  1.6E-12
   91   14   13  2.1E-13  2.2E-13  3.0E-13  4.1E-13  5.5E-13  9.4E-13  1.5E-12  2.8E-12
   92   15    1  6.9E-14  7.3E-14  8.4E-14  9.9E-14  1.2E-13  1.5E-13  2.0E-13  2.9E-13
   93   15    2  1.6E-13  1.7E-13  2.0E-13  2.4E-13  3.0E-13  4.4E-13  6.2E-13  1.0E-12
   94   15    3  2.0E-12  2.0E-12  2.3E-12  2.7E-12  3.2E-12  4.2E-12  5.3E-12  7.6E-12
   95   15    4  3.7E-13  3.8E-13  4.2E-13  4.8E-13  5.6E-13  7.4E-13  9.6E-13  1.5E-12
   96   15    5  5.5E-13  5.8E-13  6.8E-13  8.0E-13  9.5E-13  1.3E-12  1.7E-12  2.7E-12
   97   15    6  2.3E-12  2.4E-12  2.7E-12  3.0E-12  3.3E-12  4.0E-12  4.7E-12  5.8E-12
   98   15    7  1.2E-12  1.2E-12  1.4E-12  1.5E-12  1.8E-12  2.3E-12  2.9E-12  4.2E-12
   99   15    8  3.7E-12  3.9E-12  4.4E-12  4.9E-12  5.5E-12  6.5E-12  7.6E-12  9.7E-12
  100   15    9  3.1E-12  3.2E-12  3.5E-12  4.0E-12  4.6E-12  6.0E-12  7.6E-12  1.1E-11
  101   15   10  2.1E-12  2.2E-12  2.4E-12  2.7E-12  2.9E-12  3.6E-12  4.3E-12  5.9E-12
  102   15   11  2.7E-11  2.8E-11  3.1E-11  3.3E-11  3.6E-11  4.3E-11  4.9E-11  6.0E-11
  103   15   12  1.5E-12  1.6E-12  1.7E-12  1.8E-12  2.0E-12  2.3E-12  2.7E-12  3.5E-12
  104   15   13  1.4E-12  1.4E-12  1.6E-12  1.8E-12  2.1E-12  2.8E-12  3.5E-12  5.2E-12
  105   15   14  3.2E-11  3.2E-11  3.3E-11  3.5E-11  3.8E-11  4.3E-11  4.8E-11  5.8E-11
  106   16    1  2.4E-15  2.1E-15  1.5E-15  1.4E-15  1.4E-15  1.6E-15  2.0E-15  3.1E-15
  107   16    2  4.8E-14  4.8E-14  5.2E-14  6.0E-14  7.0E-14  9.5E-14  1.3E-13  2.0E-13
  108   16    3  1.9E-13  2.0E-13  2.2E-13  2.6E-13  3.2E-13  4.7E-13  6.6E-13  1.1E-12
  109   16    4  6.8E-13  7.1E-13  8.1E-13  9.4E-13  1.1E-12  1.5E-12  1.9E-12  3.0E-12
  110   16    5  5.2E-13  5.4E-13  5.9E-13  6.8E-13  7.8E-13  1.0E-12  1.3E-12  1.9E-12
  111   16    6  5.1E-12  5.3E-12  5.9E-12  6.8E-12  7.8E-12  1.0E-11  1.3E-11  1.9E-11
  112   16    7  4.4E-12  4.5E-12  4.9E-12  5.3E-12  5.8E-12  6.8E-12  7.8E-12  9.7E-12
  113   16    8  9.6E-13  9.6E-13  9.9E-13  1.1E-12  1.3E-12  1.7E-12  2.2E-12  3.3E-12
  114   16    9  1.4E-11  1.5E-11  1.6E-11  1.8E-11  1.9E-11  2.3E-11  2.6E-11  3.2E-11
  115   16   10  2.7E-11  2.8E-11  3.0E-11  3.3E-11  3.6E-11  4.2E-11  4.7E-11  5.7E-11
  116   16   11  2.9E-12  2.7E-12  2.4E-12  2.4E-12  2.5E-12  2.9E-12  3.5E-12  5.0E-12
  117   16   12  1.5E-12  1.5E-12  1.6E-12  1.8E-12  2.1E-12  2.7E-12  3.5E-12  5.1E-12
  118   16   13  1.6E-12  1.6E-12  1.7E-12  1.8E-12  2.0E-12  2.3E-12  2.7E-12  3.4E-12
  119   16   14  8.4E-12  7.1E-12  4.7E-12  3.8E-12  3.4E-12  3.3E-12  3.6E-12  4.6E-12
  120   16   15  4.2E-11  4.2E-11  4.3E-11  4.4E-11  4.5E-11  4.9E-11  5.2E-11  5.9E-11
  121   17    1  9.3E-15  9.8E-15  1.2E-14  1.5E-14  2.0E-14  3.1E-14  4.8E-14  9.4E-14
  122   17    2  7.7E-14  8.0E-14  9.2E-14  1.1E-13  1.4E-13  2.2E-13  3.2E-13  6.0E-13
  123   17    3  1.7E-13  1.7E-13  2.0E-13  2.4E-13  2.8E-13  3.9E-13  5.0E-13  7.5E-13
  124   17    4  3.2E-13  3.4E-13  3.9E-13  4.6E-13  5.5E-13  7.6E-13  1.0E-12  1.6E-12
  125   17    5  1.6E-13  1.7E-13  2.0E-13  2.4E-13  3.0E-13  4.4E-13  6.1E-13  1.0E-12
  126   17    6  1.4E-12  1.5E-12  1.7E-12  2.0E-12  2.2E-12  2.8E-12  3.5E-12  4.7E-12
  127   17    7  2.4E-12  2.5E-12  2.8E-12  3.3E-12  3.8E-12  5.0E-12  6.4E-12  9.3E-12
  128   17    8  1.0E-12  1.0E-12  1.2E-12  1.3E-12  1.5E-12  1.8E-12  2.2E-12  3.1E-12
  129   17    9  3.6E-13  3.8E-13  4.4E-13  5.3E-13  6.4E-13  9.3E-13  1.3E-12  2.1E-12
  130   17   10  5.9E-12  6.0E-12  6.5E-12  7.4E-12  8.5E-12  1.1E-11  1.4E-11  2.0E-11
  131   17   11  1.0E-11  1.0E-11  1.1E-11  1.2E-11  1.2E-11  1.5E-11  1.7E-11  2.1E-11
  132   17   12  2.2E-13  2.3E-13  2.7E-13  3.4E-13  4.3E-13  6.7E-13  1.0E-12  1.9E-12
  133   17   13  1.8E-13  1.8E-13  2.1E-13  2.5E-13  3.0E-13  4.4E-13  6.3E-13  1.1E-12
  134   17   14  4.2E-11  4.3E-11  4.6E-11  4.9E-11  5.3E-11  6.0E-11  6.8E-11  8.2E-11
  135   17   15  2.3E-12  2.4E-12  2.8E-12  3.3E-12  4.0E-12  5.6E-12  7.5E-12  1.2E-11
  136   17   16  2.3E-11  2.3E-11  2.5E-11  2.7E-11  3.0E-11  3.6E-11  4.2E-11  5.3E-11
