            5.0      10.0      20.0      30.0      40.0      50.0      60.0      70.0      80.0      90.0     100.0     200.0     300.0     500.0     700.0    1000.0    1500.0    2000.0    2500.0    3000.0
10	5	2.25E-11	2.25E-11	2.25E-11	2.25E-11	2.25E-11	2.25E-11	2.25E-11	2.25E-11	2.25E-11	2.25E-11	2.25E-11	2.14E-11	1.99E-11	1.77E-11	1.68E-11	1.70E-11	1.87E-11	2.03E-11	2.10E-11	2.10E-11
10	6	4.47E-11	4.47E-11	4.47E-11	4.47E-11	4.47E-11	4.47E-11	4.47E-11	4.47E-11	4.47E-11	4.47E-11	4.47E-11	5.48E-11	6.29E-11	7.32E-11	7.88E-11	8.31E-11	8.55E-11	8.45E-11	8.15E-11	7.74E-11
10	7	5.31E-11	5.31E-11	5.31E-11	5.31E-11	5.31E-11	5.31E-11	5.31E-11	5.31E-11	5.31E-11	5.31E-11	5.31E-11	5.30E-11	5.25E-11	5.24E-11	5.34E-11	5.58E-11	5.95E-11	6.12E-11	6.07E-11	5.89E-11
10	8	1.15E-10	1.15E-10	1.15E-10	1.15E-10	1.15E-10	1.15E-10	1.15E-10	1.15E-10	1.15E-10	1.15E-10	1.15E-10	1.48E-10	1.73E-10	2.12E-10	2.44E-10	2.80E-10	3.18E-10	3.33E-10	3.33E-10	3.24E-10
10	9	2.88E-10	2.88E-10	2.88E-10	2.88E-10	2.88E-10	2.88E-10	2.88E-10	2.88E-10	2.88E-10	2.88E-10	2.88E-10	3.20E-10	3.32E-10	3.35E-10	3.22E-10	2.88E-10	2.30E-10	1.85E-10	1.51E-10	1.26E-10
11	1	9.38E-13	9.38E-13	9.38E-13	9.38E-13	9.38E-13	9.38E-13	9.38E-13	9.38E-13	9.38E-13	9.38E-13	9.38E-13	1.04E-12	1.14E-12	1.33E-12	1.46E-12	1.56E-12	1.64E-12	1.64E-12	1.59E-12	1.52E-12
11	2	2.47E-12	2.47E-12	2.47E-12	2.47E-12	2.47E-12	2.47E-12	2.47E-12	2.47E-12	2.47E-12	2.47E-12	2.47E-12	2.17E-12	1.92E-12	1.69E-12	1.69E-12	1.89E-12	2.31E-12	2.61E-12	2.75E-12	2.78E-12
11	3	6.15E-12	6.15E-12	6.15E-12	6.15E-12	6.15E-12	6.15E-12	6.15E-12	6.15E-12	6.15E-12	6.15E-12	6.15E-12	6.82E-12	7.39E-12	8.34E-12	8.97E-12	9.50E-12	9.85E-12	9.84E-12	9.59E-12	9.19E-12
11	4	8.33E-12	8.33E-12	8.33E-12	8.33E-12	8.33E-12	8.33E-12	8.33E-12	8.33E-12	8.33E-12	8.33E-12	8.33E-12	7.65E-12	6.94E-12	6.15E-12	5.98E-12	6.30E-12	7.24E-12	7.98E-12	8.35E-12	8.41E-12
11	5	1.75E-11	1.75E-11	1.75E-11	1.75E-11	1.75E-11	1.75E-11	1.75E-11	1.75E-11	1.75E-11	1.75E-11	1.75E-11	2.06E-11	2.27E-11	2.49E-11	2.58E-11	2.64E-11	2.68E-11	2.67E-11	2.60E-11	2.50E-11
11	6	2.17E-11	2.17E-11	2.17E-11	2.17E-11	2.17E-11	2.17E-11	2.17E-11	2.17E-11	2.17E-11	2.17E-11	2.17E-11	2.12E-11	1.98E-11	1.78E-11	1.71E-11	1.75E-11	1.95E-11	2.12E-11	2.20E-11	2.20E-11
11	7	4.27E-11	4.27E-11	4.27E-11	4.27E-11	4.27E-11	4.27E-11	4.27E-11	4.27E-11	4.27E-11	4.27E-11	4.27E-11	5.49E-11	6.37E-11	7.47E-11	8.04E-11	8.49E-11	8.74E-11	8.64E-11	8.34E-11	7.92E-11
11	8	5.28E-11	5.28E-11	5.28E-11	5.28E-11	5.28E-11	5.28E-11	5.28E-11	5.28E-11	5.28E-11	5.28E-11	5.28E-11	5.33E-11	5.27E-11	5.24E-11	5.34E-11	5.60E-11	5.99E-11	6.16E-11	6.12E-11	5.94E-11
11	9	1.10E-10	1.10E-10	1.10E-10	1.10E-10	1.10E-10	1.10E-10	1.10E-10	1.10E-10	1.10E-10	1.10E-10	1.10E-10	1.46E-10	1.73E-10	2.14E-10	2.46E-10	2.83E-10	3.20E-10	3.35E-10	3.35E-10	3.26E-10
11	10	2.69E-10	2.69E-10	2.69E-10	2.69E-10	2.69E-10	2.69E-10	2.69E-10	2.69E-10	2.69E-10	2.69E-10	2.69E-10	3.06E-10	3.21E-10	3.32E-10	3.35E-10	3.36E-10	3.30E-10	3.17E-10	3.00E-10	2.82E-10
12	1	3.74E-13	3.74E-13	3.74E-13	3.74E-13	3.74E-13	3.74E-13	3.74E-13	3.74E-13	3.74E-13	3.74E-13	3.74E-13	3.27E-13	2.92E-13	2.83E-13	3.19E-13	4.02E-13	5.34E-13	6.18E-13	6.57E-13	6.65E-13
12	2	1.63E-12	1.63E-12	1.63E-12	1.63E-12	1.63E-12	1.63E-12	1.63E-12	1.63E-12	1.63E-12	1.63E-12	1.63E-12	1.88E-12	2.13E-12	2.54E-12	2.84E-12	3.11E-12	3.34E-12	3.39E-12	3.32E-12	3.20E-12
