      5.0     10.0     20.0     40.0     60.0     80.0    100.0    200.0    300.0    500.0 
14  7 +1.8e-12 +2.0e-12 +2.4e-12 +3.1e-12 +3.6e-12 +4.1e-12 +4.5e-12 +5.8e-12 +6.5e-12 +7.4e-12 
14  8 +2.8e-12 +3.2e-12 +3.6e-12 +4.2e-12 +4.7e-12 +5.2e-12 +5.5e-12 +6.8e-12 +7.5e-12 +8.4e-12 
14  9 +6.2e-12 +7.1e-12 +8.2e-12 +9.8e-12 +1.1e-11 +1.2e-11 +1.3e-11 +1.5e-11 +1.6e-11 +1.8e-11 
14 10 +6.6e-12 +7.3e-12 +8.0e-12 +8.5e-12 +8.7e-12 +8.9e-12 +9.1e-12 +1.0e-11 +1.1e-11 +1.2e-11 
14 11 +1.9e-11 +2.2e-11 +2.5e-11 +2.8e-11 +3.0e-11 +3.1e-11 +3.2e-11 +3.6e-11 +3.8e-11 +4.2e-11 
14 12 +1.4e-11 +1.6e-11 +1.7e-11 +1.8e-11 +1.8e-11 +1.9e-11 +2.1e-11 +2.6e-11 +3.1e-11 +3.8e-11 
14 13 +6.2e-11 +6.9e-11 +7.3e-11 +7.5e-11 +7.5e-11 +7.4e-11 +7.4e-11 +7.7e-11 +8.1e-11 +9.2e-11 
15  1 +2.1e-15 +2.2e-15 +3.0e-15 +6.3e-15 +1.2e-14 +1.8e-14 +2.4e-14 +4.5e-14 +5.5e-14 +6.5e-14 
15  2 +7.8e-15 +8.3e-15 +1.1e-14 +2.2e-14 +3.9e-14 +5.9e-14 +7.9e-14 +1.4e-13 +1.8e-13 +2.1e-13 
15  3 +3.5e-14 +3.6e-14 +4.4e-14 +7.9e-14 +1.3e-13 +1.9e-13 +2.5e-13 +4.3e-13 +5.2e-13 +6.1e-13 
15  4 +7.9e-14 +8.0e-14 +9.7e-14 +1.6e-13 +2.6e-13 +3.6e-13 +4.5e-13 +7.6e-13 +9.2e-13 +1.1e-12 
