 20.0    40.0    80.0   120.0   200.0   400.0   800.0  1200.0  1600.0  2000.0
   62   12   7   2.9E-12 4.1E-12 7.4E-12 1.1E-11 1.8E-11 3.4E-11 5.3E-11 6.4E-11 7.2E-11 7.7E-11
   63   12   8   1.1E-13 1.5E-13 2.7E-13 4.2E-13 7.6E-13 1.7E-12 3.4E-12 4.7E-12 5.8E-12 6.8E-12
   64   12   9   2.4E-12 3.1E-12 4.3E-12 5.5E-12 7.7E-12 1.3E-11 2.3E-11 3.0E-11 3.5E-11 3.9E-11
   65   12  10   7.0E-12 8.8E-12 1.3E-11 1.6E-11 2.2E-11 3.4E-11 4.6E-11 5.2E-11 5.6E-11 5.9E-11
   66   12  11   3.9E-13 5.2E-13 8.9E-13 1.3E-12 2.1E-12 4.0E-12 7.7E-12 1.1E-11 1.3E-11 1.6E-11
   67   13   1   6.0E-15 9.0E-15 1.8E-14 3.1E-14 6.8E-14 1.9E-13 4.4E-13 6.2E-13 7.5E-13 8.4E-13
   68   13   2   2.2E-14 3.2E-14 6.3E-14 1.1E-13 2.3E-13 6.3E-13 1.4E-12 2.1E-12 2.6E-12 3.0E-12
   69   13   3   2.7E-14 4.0E-14 7.7E-14 1.2E-13 2.3E-13 4.8E-13 8.9E-13 1.3E-12 1.6E-12 1.9E-12
   70   13   4   1.2E-13 1.6E-13 2.8E-13 4.2E-13 7.2E-13 1.5E-12 3.1E-12 4.4E-12 5.4E-12 6.3E-12
   71   13   5   7.1E-14 9.9E-14 1.7E-13 2.5E-13 4.3E-13 9.2E-13 1.8E-12 2.4E-12 2.9E-12 3.3E-12
   72   13   6   1.9E-13 3.0E-13 6.6E-13 1.2E-12 2.6E-12 7.0E-12 1.5E-11 2.2E-11 2.6E-11 3.0E-11
   73   13   7   9.8E-13 1.3E-12 2.1E-12 3.0E-12 4.5E-12 7.6E-12 1.2E-11 1.6E-11 1.9E-11 2.2E-11
   74   13   8   5.6E-13 8.3E-13 1.6E-12 2.6E-12 5.0E-12 1.2E-11 2.6E-11 3.6E-11 4.4E-11 5.0E-11
   75   13   9   3.1E-13 4.4E-13 7.8E-13 1.2E-12 2.2E-12 4.9E-12 9.3E-12 1.2E-11 1.5E-11 1.6E-11
   76   13  10   4.4E-12 5.8E-12 8.6E-12 1.1E-11 1.6E-11 2.5E-11 3.6E-11 4.2E-11 4.6E-11 4.8E-11
   77   13  11   5.5E-12 7.0E-12 1.0E-11 1.4E-11 2.0E-11 3.2E-11 4.7E-11 5.5E-11 6.0E-11 6.3E-11
   78   13  12   8.7E-14 1.6E-13 3.7E-13 6.2E-13 1.2E-12 2.7E-12 5.2E-12 6.7E-12 7.7E-12 8.4E-12
   79   14   1   2.0E-14 3.2E-14 7.0E-14 1.2E-13 2.5E-13 5.7E-13 1.0E-12 1.3E-12 1.6E-12 1.7E-12
   80   14   2   1.2E-14 1.9E-14 4.4E-14 8.4E-14 2.0E-13 6.6E-13 1.7E-12 2.6E-12 3.2E-12 3.8E-12
   81   14   3   8.0E-15 1.3E-14 3.0E-14 5.7E-14 1.3E-13 3.9E-13 9.8E-13 1.5E-12 1.9E-12 2.3E-12
   82   14   4   1.3E-14 2.1E-14 5.2E-14 1.0E-13 2.5E-13 8.2E-13 2.2E-12 3.5E-12 4.4E-12 5.2E-12
   83   14   5   8.8E-14 1.3E-13 2.9E-13 5.0E-13 1.1E-12 3.2E-12 7.7E-12 1.1E-11 1.4E-11 1.7E-11
   84   14   6   9.5E-14 1.3E-13 2.2E-13 3.1E-13 4.7E-13 8.0E-13 1.4E-12 2.0E-12 2.5E-12 3.0E-12
   85   14   7   1.7E-13 2.5E-13 5.0E-13 8.5E-13 1.7E-12 4.5E-12 1.0E-11 1.5E-11 1.8E-11 2.2E-11
   86   14   8   5.4E-13 7.6E-13 1.3E-12 2.0E-12 3.4E-12 6.7E-12 1.2E-11 1.6E-11 1.8E-11 2.0E-11
   87   14   9   4.5E-13 6.3E-13 1.0E-12 1.5E-12 2.3E-12 3.7E-12 5.9E-12 7.6E-12 9.1E-12 1.0E-11
   88   14  10   1.1E-12 1.5E-12 2.5E-12 3.8E-12 6.6E-12 1.5E-11 2.8E-11 3.8E-11 4.5E-11 5.0E-11
   89   14  11   2.7E-13 3.4E-13 5.3E-13 7.7E-13 1.3E-12 3.1E-12 6.5E-12 9.1E-12 1.1E-11 1.3E-11
