   15.0   30.0   60.0  100.0  200.0  300.0
108  15    4     3.1E-13   7.2E-13   1.3E-12   2.0E-12   3.9E-12   5.5E-12  
109  15    3     4.8E-13   1.1E-12   2.1E-12   2.9E-12   4.5E-12   5.8E-12  
110  15    6     5.5E-14   1.5E-13   3.6E-13   5.5E-13   8.2E-13   9.6E-13  
111  15    5     6.4E-14   1.7E-13   4.0E-13   6.3E-13   1.0E-12   1.3E-12  
112  15    8     2.5E-13   6.2E-13   1.2E-12   1.8E-12   2.7E-12   3.3E-12  
113  15    7     6.7E-13   1.6E-12   3.2E-12   4.4E-12   6.4E-12   7.9E-12  
114  15   10     1.4E-12   3.2E-12   5.4E-12   6.8E-12   9.2E-12   1.1E-11  
115  15    9     4.3E-12   1.0E-11   1.7E-11   2.3E-11   3.6E-11   4.4E-11  
116  15   12     3.2E-12   7.7E-12   1.4E-11   2.0E-11   3.0E-11   3.5E-11  
117  15   11     4.2E-12   1.0E-11   1.9E-11   2.5E-11   3.1E-11   3.4E-11  
118  15   14     1.4E-11   3.2E-11   5.6E-11   7.2E-11   9.7E-11   1.1E-10  
119  15   13     1.3E-12   3.1E-12   5.2E-12   6.2E-12   7.1E-12   7.5E-12  
120  16   15     5.4E-12   1.3E-11   2.1E-11   2.6E-11   3.1E-11   3.1E-11  
121  18    2     8.3E-15   2.1E-14   4.8E-14   8.2E-14   1.6E-13   2.3E-13  
122  18    1     1.0E-14   2.6E-14   5.4E-14   8.6E-14   1.5E-13   2.0E-13  
123  18    4     2.1E-14   5.8E-14   1.5E-13   2.8E-13   5.8E-13   8.3E-13  
124  18    3     2.5E-14   6.6E-14   1.5E-13   2.6E-13   4.9E-13   6.6E-13  
125  18    6     1.6E-14   3.5E-14   5.9E-14   7.7E-14   1.2E-13   1.7E-13  
126  18    5     1.3E-14   3.0E-14   5.1E-14   6.8E-14   1.1E-13   1.4E-13  
127  18    8     5.1E-14   1.2E-13   2.2E-13   3.1E-13   5.0E-13   6.4E-13  
128  18    7     3.4E-14   7.8E-14   1.4E-13   1.9E-13   3.2E-13   4.5E-13  
129  18   10     9.7E-14   2.8E-13   7.6E-13   1.4E-12   2.8E-12   3.8E-12  
130  18    9     6.3E-14   1.7E-13   4.1E-13   7.1E-13   1.3E-12   1.7E-12  
131  18   12     1.3E-13   3.1E-13   5.8E-13   8.4E-13   1.3E-12   1.7E-12  
132  18   11     1.3E-13   3.1E-13   6.5E-13   1.0E-12   1.8E-12   2.3E-12  
133  18   14     8.1E-13   2.2E-12   5.2E-12   8.9E-12   1.6E-11   2.0E-11  
134  18   13     7.3E-13   2.0E-12   5.0E-12   8.9E-12   1.7E-11   2.4E-11  
135  18   16     2.3E-12   5.6E-12   1.1E-11   1.6E-11   2.4E-11   2.7E-11  
136  18   15     7.6E-13   1.7E-12   2.7E-12   3.1E-12   3.8E-12   4.4E-12  
137  17    2     4.0E-14   1.1E-13   2.8E-13   5.1E-13   1.0E-12   1.4E-12  
138  17    1     6.2E-14   1.9E-13   5.5E-13   1.1E-12   2.2E-12   3.0E-12  
139  17    4     1.1E-13   3.6E-13   1.2E-12   2.5E-12   5.0E-12   6.8E-12  
140  17    3     7.5E-14   2.4E-13   7.3E-13   1.5E-12   3.1E-12   4.3E-12  
141  17    6     3.6E-14   8.4E-14   1.6E-13   2.2E-13   3.9E-13   5.3E-13  
142  17    5     3.1E-14   7.3E-14   1.3E-13   1.9E-13   3.3E-13   4.5E-13  
143  17    8     4.5E-14   1.1E-13   2.3E-13   3.7E-13   7.0E-13   9.7E-13  
144  17    7     9.1E-14   2.4E-13   5.3E-13   8.8E-13   1.6E-12   2.0E-12  
145  17   10     1.6E-13   4.6E-13   1.3E-12   2.4E-12   4.7E-12   6.3E-12  
146  17    9     4.2E-13   1.5E-12   4.8E-12   9.6E-12   1.8E-11   2.3E-11  
147  17   12     1.3E-13   3.2E-13   6.4E-13   9.8E-13   1.7E-12   2.2E-12  
148  17   11     1.1E-13   2.9E-13   6.1E-13   9.7E-13   1.7E-12   2.1E-12  
149  17   14     1.0E-12   3.0E-12   7.9E-12   1.4E-11   2.5E-11   3.1E-11  
150  17   13     1.3E-12   3.5E-12   8.7E-12   1.5E-11   2.6E-11   3.2E-11  
151  17   16     5.8E-13   1.3E-12   2.4E-12   3.1E-12   4.1E-12   4.8E-12  
152  17   15     1.1E-12   2.6E-12   5.1E-12   7.1E-12   9.6E-12   1.1E-11  
153  18   17     1.7E-11   4.0E-11   7.1E-11   9.0E-11   1.0E-10   9.8E-11  
154  19    2     4.5E-14   1.2E-13   2.7E-13   4.7E-13   9.2E-13   1.3E-12  
155  19    1     1.1E-13   2.8E-13   6.5E-13   1.1E-12   2.1E-12   2.9E-12  
156  19    4     2.3E-13   6.0E-13   1.3E-12   2.2E-12   4.0E-12   5.3E-12  
157  19    3     1.0E-13   2.7E-13   6.2E-13   1.0E-12   1.9E-12   2.6E-12  
158  19    6     8.1E-14   2.1E-13   4.7E-13   7.6E-13   1.3E-12   1.7E-12  
159  19    5     2.4E-14   6.3E-14   1.4E-13   2.4E-13   4.4E-13   5.9E-13  
160  19    8     1.8E-13   4.7E-13   1.0E-12   1.7E-12   3.0E-12   4.0E-12  
161  19    7     1.2E-13   3.0E-13   6.7E-13   1.1E-12   1.9E-12   2.5E-12  
162  19   10     2.3E-13   6.0E-13   1.3E-12   2.2E-12   3.8E-12   4.9E-12  
163  19    9     4.5E-13   1.2E-12   2.6E-12   4.2E-12   7.2E-12   9.2E-12  
164  19   12     8.8E-13   2.3E-12   4.9E-12   7.5E-12   1.2E-11   1.5E-11  
165  19   11     1.6E-13   4.3E-13   9.5E-13   1.5E-12   2.6E-12   3.4E-12  
166  19   14     1.4E-12   3.7E-12   7.8E-12   1.2E-11   1.8E-11   2.2E-11  
167  19   13     4.2E-13   1.1E-12   2.3E-12   3.4E-12   5.1E-12   6.2E-12  
168  19   16     2.5E-12   6.4E-12   1.4E-11   2.0E-11   3.1E-11   3.6E-11  
169  19   15     1.2E-12   3.0E-12   6.3E-12   9.2E-12   1.3E-11   1.5E-11  
170  19   18     6.7E-13   1.7E-12   3.4E-12   4.8E-12   6.6E-12   7.4E-12  
171  19   17     6.0E-12   1.5E-11   3.1E-11   4.4E-11   5.8E-11   6.3E-11  
172  20    2     7.8E-15   2.1E-14   4.8E-14   8.5E-14   1.8E-13   2.6E-13  
173  20    1     6.5E-15   1.7E-14   3.9E-14   6.7E-14   1.4E-13   2.0E-13  
174  20    4     2.3E-14   6.1E-14   1.4E-13   2.3E-13   4.5E-13   6.3E-13  
175  20    3     2.9E-14   7.7E-14   1.8E-13   3.0E-13   5.7E-13   7.9E-13  
176  20    6     6.4E-15   1.7E-14   3.7E-14   6.1E-14   1.1E-13   1.6E-13  
177  20    5     8.5E-15   2.3E-14   5.3E-14   9.2E-14   1.8E-13   2.6E-13  
178  20    8     3.2E-14   8.3E-14   1.9E-13   3.0E-13   5.4E-13   7.2E-13  
179  20    7     4.6E-14   1.2E-13   2.9E-13   5.0E-13   1.0E-12   1.5E-12  
180  20   10     1.0E-13   2.7E-13   6.2E-13   1.0E-12   1.9E-12   2.6E-12  
181  20    9     1.2E-13   3.2E-13   7.1E-13   1.1E-12   2.0E-12   2.6E-12  
182  20   12     9.1E-14   2.3E-13   5.1E-13   8.1E-13   1.4E-12   1.8E-12  
183  20   11     2.5E-13   6.6E-13   1.5E-12   2.5E-12   4.6E-12   6.1E-12  
184  20   14     2.9E-13   7.4E-13   1.6E-12   2.5E-12   4.2E-12   5.3E-12  
185  20   13     2.4E-12   6.2E-12   1.3E-11   2.0E-11   3.1E-11   3.6E-11  
186  20   16     2.2E-12   5.7E-12   1.2E-11   1.8E-11   2.8E-11   3.4E-11  
187  20   15     1.6E-12   4.2E-12   9.0E-12   1.4E-11   2.2E-11   2.7E-11  
188  20   18     1.0E-11   2.5E-11   5.1E-11   7.2E-11   9.5E-11   1.0E-10  
189  20   17     5.6E-13   1.4E-12   2.8E-12   3.9E-12   5.2E-12   5.7E-12  
190  20   19     7.5E-12   1.8E-11   3.4E-11   4.2E-11   4.3E-11   4.0E-11  
