     distance         timeN            Tn             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27            28            29            30            31            32            33            34            35            36            37            38            39            40 
  1.631803929E+015   2.0684E+001   9.9967E+000   2.9182E-002   5.2833E-002   3.1696E-002   8.8250E-003   1.2673E-003   9.8213E-005   4.2042E-006   1.0068E-007   1.3599E-009   1.0409E-011   4.5365E-014   1.1268E-016   1.5997E-019   1.3002E-022   6.0522E-026   1.6159E-029   2.4760E-033   2.1798E-037   1.1032E-041   3.2120E-046   5.3869E-051   5.2076E-056   2.9014E-061   9.3201E-067   1.7276E-072   1.8483E-078   1.1437E-084   4.0921E-091   8.4719E-098   1.0151E-104   7.0529E-112   2.8411E-119   6.6413E-127   9.0085E-135   7.1080E-143   3.2581E-151   8.7007E-160   1.3518E-168   1.2248E-177   6.4777E-187 
  2.573532971E+015   3.2621E+001   9.9948E+000   2.9182E-002   5.2833E-002   3.1696E-002   8.8250E-003   1.2673E-003   9.8213E-005   4.2042E-006   1.0068E-007   1.3599E-009   1.0409E-011   4.5365E-014   1.1268E-016   1.5997E-019   1.3002E-022   6.0522E-026   1.6159E-029   2.4760E-033   2.1798E-037   1.1032E-041   3.2120E-046   5.3869E-051   5.2076E-056   2.9014E-061   9.3201E-067   1.7276E-072   1.8483E-078   1.1437E-084   4.0921E-091   8.4719E-098   1.0151E-104   7.0529E-112   2.8411E-119   6.6413E-127   9.0085E-135   7.1080E-143   3.2581E-151   8.7007E-160   1.3518E-168   1.2248E-177   6.4777E-187 
  3.837665157E+015   4.8644E+001   9.9923E+000   2.9182E-002   5.2833E-002   3.1696E-002   8.8250E-003   1.2673E-003   9.8213E-005   4.2042E-006   1.0068E-007   1.3599E-009   1.0409E-011   4.5365E-014   1.1268E-016   1.5997E-019   1.3002E-022   6.0522E-026   1.6159E-029   2.4760E-033   2.1798E-037   1.1032E-041   3.2120E-046   5.3869E-051   5.2076E-056   2.9014E-061   9.3201E-067   1.7276E-072   1.8483E-078   1.1437E-084   4.0921E-091   8.4719E-098   1.0151E-104   7.0529E-112   2.8411E-119   6.6413E-127   9.0085E-135   7.1080E-143   3.2581E-151   8.7007E-160   1.3518E-168   1.2248E-177   6.4777E-187 
  2.347985182E+016   2.9762E+002   9.9533E+000   2.9182E-002   5.2833E-002   3.1696E-002   8.8250E-003   1.2673E-003   9.8213E-005   4.2042E-006   1.0068E-007   1.3599E-009   1.0409E-011   4.5365E-014   1.1268E-016   1.5997E-019   1.3002E-022   6.0522E-026   1.6159E-029   2.4760E-033   2.1798E-037   1.1032E-041   3.2120E-046   5.3869E-051   5.2076E-056   2.9014E-061   9.3201E-067   1.7276E-072   1.8483E-078   1.1437E-084   4.0921E-091   8.4719E-098   1.0151E-104   7.0529E-112   2.8411E-119   6.6413E-127   9.0085E-135   7.1080E-143   3.2581E-151   8.7007E-160   1.3518E-168   1.2248E-177   6.4777E-187 
  9.116676809E+016   1.1556E+003   9.8258E+000   2.9182E-002   5.2833E-002   3.1696E-002   8.8250E-003   1.2673E-003   9.8213E-005   4.2042E-006   1.0068E-007   1.3599E-009   1.0409E-011   4.5365E-014   1.1268E-016   1.5997E-019   1.3002E-022   6.0522E-026   1.6159E-029   2.4760E-033   2.1798E-037   1.1032E-041   3.2120E-046   5.3869E-051   5.2076E-056   2.9014E-061   9.3201E-067   1.7276E-072   1.8483E-078   1.1437E-084   4.0921E-091   8.4719E-098   1.0151E-104   7.0529E-112   2.8411E-119   6.6413E-127   9.0085E-135   7.1080E-143   3.2581E-151   8.7007E-160   1.3518E-168   1.2248E-177   6.4777E-187 
  1.647828898E+017   2.0887E+003   9.6987E+000   2.9182E-002   5.2833E-002   3.1696E-002   8.8250E-003   1.2673E-003   9.8213E-005   4.2042E-006   1.0068E-007   1.3599E-009   1.0409E-011   4.5365E-014   1.1268E-016   1.5997E-019   1.3002E-022   6.0522E-026   1.6159E-029   2.4760E-033   2.1798E-037   1.1032E-041   3.2120E-046   5.3869E-051   5.2076E-056   2.9014E-061   9.3201E-067   1.7276E-072   1.8483E-078   1.1437E-084   4.0921E-091   8.4719E-098   1.0151E-104   7.0529E-112   2.8411E-119   6.6413E-127   9.0085E-135   7.1080E-143   3.2581E-151   8.7007E-160   1.3518E-168   1.2248E-177   6.4777E-187 
  2.383990116E+017   3.0218E+003   9.5826E+000   2.9182E-002   5.2833E-002   3.1696E-002   8.8250E-003   1.2673E-003   9.8213E-005   4.2042E-006   1.0068E-007   1.3599E-009   1.0409E-011   4.5365E-014   1.1268E-016   1.5997E-019   1.3002E-022   6.0522E-026   1.6159E-029   2.4760E-033   2.1798E-037   1.1032E-041   3.2120E-046   5.3869E-051   5.2076E-056   2.9014E-061   9.3201E-067   1.7276E-072   1.8483E-078   1.1437E-084   4.0921E-091   8.4719E-098   1.0151E-104   7.0529E-112   2.8411E-119   6.6413E-127   9.0085E-135   7.1080E-143   3.2581E-151   8.7007E-160   1.3518E-168   1.2248E-177   6.4777E-187 
  7.887101696E+017   9.9973E+003   8.9768E+000   2.9182E-002   5.2833E-002   3.1696E-002   8.8250E-003   1.2673E-003   9.8213E-005   4.2042E-006   1.0068E-007   1.3599E-009   1.0409E-011   4.5365E-014   1.1268E-016   1.5997E-019   1.3002E-022   6.0522E-026   1.6159E-029   2.4760E-033   2.1798E-037   1.1032E-041   3.2120E-046   5.3869E-051   5.2076E-056   2.9014E-061   9.3201E-067   1.7276E-072   1.8483E-078   1.1437E-084   4.0921E-091   8.4719E-098   1.0151E-104   7.0529E-112   2.8411E-119   6.6413E-127   9.0085E-135   7.1080E-143   3.2581E-151   8.7007E-160   1.3518E-168   1.2248E-177   6.4777E-187 
  2.870984921E+018   3.6391E+004   8.3681E+000   2.9182E-002   5.2833E-002   3.1696E-002   8.8250E-003   1.2673E-003   9.8213E-005   4.2042E-006   1.0068E-007   1.3599E-009   1.0409E-011   4.5365E-014   1.1268E-016   1.5997E-019   1.3002E-022   6.0522E-026   1.6159E-029   2.4760E-033   2.1798E-037   1.1032E-041   3.2120E-046   5.3869E-051   5.2076E-056   2.9014E-061   9.3201E-067   1.7276E-072   1.8483E-078   1.1437E-084   4.0921E-091   8.4719E-098   1.0151E-104   7.0529E-112   2.8411E-119   6.6413E-127   9.0085E-135   7.1080E-143   3.2581E-151   8.7007E-160   1.3518E-168   1.2248E-177   6.4777E-187 
  5.575657559E+018   7.0674E+004   8.3062E+000   2.9182E-002   5.2833E-002   3.1696E-002   8.8250E-003   1.2673E-003   9.8213E-005   4.2042E-006   1.0068E-007   1.3599E-009   1.0409E-011   4.5365E-014   1.1268E-016   1.5997E-019   1.3002E-022   6.0522E-026   1.6159E-029   2.4760E-033   2.1798E-037   1.1032E-041   3.2120E-046   5.3869E-051   5.2076E-056   2.9014E-061   9.3201E-067   1.7276E-072   1.8483E-078   1.1437E-084   4.0921E-091   8.4719E-098   1.0151E-104   7.0529E-112   2.8411E-119   6.6413E-127   9.0085E-135   7.1080E-143   3.2581E-151   8.7007E-160   1.3518E-168   1.2248E-177   6.4777E-187 
  1.546905962E+019   1.9608E+005   8.2937E+000   2.9182E-002   5.2833E-002   3.1696E-002   8.8250E-003   1.2673E-003   9.8213E-005   4.2042E-006   1.0068E-007   1.3599E-009   1.0409E-011   4.5365E-014   1.1268E-016   1.5997E-019   1.3002E-022   6.0522E-026   1.6159E-029   2.4760E-033   2.1798E-037   1.1032E-041   3.2120E-046   5.3869E-051   5.2076E-056   2.9014E-061   9.3201E-067   1.7276E-072   1.8483E-078   1.1437E-084   4.0921E-091   8.4719E-098   1.0151E-104   7.0529E-112   2.8411E-119   6.6413E-127   9.0085E-135   7.1080E-143   3.2581E-151   8.7007E-160   1.3518E-168   1.2248E-177   6.4777E-187 
