     distance         timeN            Tn           0.0           0.1          ****          ****          ****          ****          ****          ****          ****          ****          ****          ****          ****          ****          ****          ****          ****          ****          ****          **** 
  2.468838384E+009   1.2495E-004   3.3134E+004   2.7734E-002   2.7513E-002   2.4410E-007   2.3714E-007   1.7791E-010   1.7394E-010   5.3336E-014   5.1082E-014   1.3370E-014   1.2535E-014   3.7546E-020   3.6105E-020   4.4753E-024   3.9921E-024   8.3126E-029   8.0954E-029   8.9722E-036   7.5126E-036   6.8693E-040   6.8644E-040 
  3.671989515E+009   1.8664E-004   3.2984E+004   4.3022E-002   4.2679E-002   3.7866E-007   3.6786E-007   2.7599E-010   2.6983E-010   8.2737E-014   7.9242E-014   2.0740E-014   1.9445E-014   5.8243E-020   5.6008E-020   6.9423E-024   6.1928E-024   1.2895E-028   1.2558E-028   1.3918E-035   1.1654E-035   1.0656E-039   1.0648E-039 
  7.375119935E+009   3.7863E-004   3.2486E+004   9.5018E-002   9.4261E-002   8.3629E-007   8.1245E-007   6.0955E-010   5.9593E-010   1.8273E-013   1.7501E-013   4.5805E-014   4.2946E-014   1.2863E-019   1.2370E-019   1.5333E-023   1.3677E-023   2.8480E-028   2.7736E-028   3.0739E-035   2.5739E-035   2.3535E-039   2.3518E-039 
  1.485303951E+010   7.7767E-004   3.1316E+004   2.2712E-001   2.2531E-001   1.9990E-006   1.9420E-006   1.4570E-009   1.4244E-009   4.3678E-013   4.1833E-013   1.0949E-013   1.0265E-013   3.0747E-019   2.9567E-019   3.6649E-023   3.2692E-023   6.8074E-028   6.6295E-028   7.3475E-035   6.1522E-035   5.6254E-039   5.6214E-039 
  2.097226566E+010   1.1179E-003   3.0188E+004   3.7946E-001   3.7644E-001   3.3398E-006   3.2446E-006   2.4343E-009   2.3799E-009   7.2975E-013   6.9892E-013   1.8293E-013   1.7151E-013   5.1371E-019   4.9399E-019   6.1231E-023   5.4621E-023   1.1373E-027   1.1076E-027   1.2276E-034   1.0279E-034   9.3987E-039   9.3919E-039 
  2.586395657E+010   1.4004E-003   2.9183E+004   5.4652E-001   5.4217E-001   4.8101E-006   4.6730E-006   3.5060E-009   3.4277E-009   1.0510E-012   1.0066E-012   2.6346E-013   2.4702E-013   7.3987E-019   7.1148E-019   8.8189E-023   7.8668E-023   1.6381E-027   1.5953E-027   1.7680E-034   1.4804E-034   1.3537E-038   1.3527E-038 
  4.247073082E+010   2.4414E-003   2.5459E+004   1.6327E+000   1.6197E+000   1.4370E-005   1.3960E-005   1.0474E-008   1.0240E-008   3.1398E-012   3.0072E-012   7.8706E-013   7.3793E-013   2.2103E-018   2.1254E-018   2.6345E-022   2.3501E-022   4.8936E-027   4.7657E-027   5.2818E-034   4.4226E-034   4.0439E-038   4.0410E-038 
  5.423624118E+010   3.2498E-003   2.3139E+004   2.9777E+000   2.9540E+000   2.6208E-005   2.5461E-005   1.9102E-008   1.8675E-008   5.7265E-012   5.4845E-012   1.4355E-012   1.3458E-012   4.0311E-018   3.8764E-018   4.8049E-022   4.2862E-022   8.9250E-027   8.6918E-027   9.6331E-034   8.0660E-034   7.3753E-038   7.3700E-038 
  6.292441705E+010   3.8686E-003   2.1741E+004   4.0596E+000   4.0273E+000   3.5730E-005   3.4712E-005   2.6043E-008   2.5461E-008   7.8072E-012   7.4773E-012   1.9570E-012   1.8349E-012   5.4958E-018   5.2849E-018   6.5508E-022   5.8436E-022   1.2168E-026   1.1850E-026   1.3133E-033   1.0997E-033   1.0055E-037   1.0048E-037 
  8.411011849E+010   5.4083E-003   1.8959E+004   5.7642E+000   5.7183E+000   5.0733E-005   4.9287E-005   3.6978E-008   3.6152E-008   1.1085E-011   1.0617E-011   2.7788E-012   2.6053E-012   7.8035E-018   7.5040E-018   9.3014E-022   8.2973E-022   1.7277E-026   1.6826E-026   1.8648E-033   1.5614E-033   1.4277E-037   1.4267E-037 
  1.083101482E+011   7.2038E-003   1.6694E+004   5.6281E+000   5.5833E+000   4.9536E-005   4.8124E-005   3.6105E-008   3.5299E-008   1.0824E-011   1.0366E-011   2.7132E-012   2.5438E-012   7.6193E-018   7.3269E-018   9.0819E-022   8.1014E-022   1.6869E-026   1.6428E-026   1.8208E-033   1.5246E-033   1.3940E-037   1.3930E-037 
  1.211767408E+011   8.1735E-003   1.5856E+004   5.0565E+000   5.0162E+000   4.4504E-005   4.3235E-005   3.2438E-008   3.1713E-008   9.7242E-012   9.3134E-012   2.4376E-012   2.2854E-012   6.8454E-018   6.5826E-018   8.1594E-022   7.2785E-022   1.5156E-026   1.4760E-026   1.6358E-033   1.3697E-033   1.2524E-037   1.2515E-037 
  1.249047645E+011   8.4562E-003   1.5652E+004   4.8661E+000   4.8273E+000   4.2828E-005   4.1607E-005   3.1216E-008   3.0519E-008   9.3580E-012   8.9627E-012   2.3458E-012   2.1993E-012   6.5876E-018   6.3348E-018   7.8521E-022   7.0044E-022   1.4585E-026   1.4204E-026   1.5742E-033   1.3181E-033   1.2053E-037   1.2044E-037 
  1.582169745E+011   1.1013E-002   1.4384E+004   3.1716E+000   3.1463E+000   2.7914E-005   2.7118E-005   2.0346E-008   1.9891E-008   6.0993E-012   5.8417E-012   1.5289E-012   1.4335E-012   4.2936E-018   4.1288E-018   5.1178E-022   4.5653E-022   9.5061E-027   9.2577E-027   1.0260E-033   8.5912E-034   7.8556E-038   7.8499E-038 
  1.931668970E+011   1.3739E-002   1.3716E+004   1.8684E+000   1.8535E+000   1.6444E-005   1.5975E-005   1.1986E-008   1.1718E-008   3.5931E-012   3.4413E-012   9.0068E-013   8.4445E-013   2.5294E-018   2.4323E-018   3.0149E-022   2.6894E-022   5.6000E-027   5.4537E-027   6.0443E-034   5.0610E-034   4.6277E-038   4.6243E-038 
  2.529834143E+011   1.8458E-002   1.3236E+004   7.1328E-001   7.0760E-001   6.2778E-006   6.0989E-006   4.5757E-009   4.4735E-009   1.3717E-012   1.3138E-012   3.4385E-013   3.2239E-013   9.6563E-019   9.2857E-019   1.1510E-022   1.0267E-022   2.1379E-027   2.0820E-027   2.3075E-034   1.9321E-034   1.7667E-038   1.7654E-038 
  3.414931496E+011   2.5492E-002   1.3042E+004   1.6653E-001   1.6520E-001   1.4657E-006   1.4239E-006   1.0683E-009   1.0444E-009   3.2026E-013   3.0673E-013   8.0279E-014   7.5267E-014   2.2544E-019   2.1679E-019   2.6872E-023   2.3971E-023   4.9913E-028   4.8609E-028   5.3874E-035   4.5110E-035   4.1247E-039   4.1217E-039 
  4.166800967E+011   3.1480E-002   1.3004E+004   4.9342E-002   4.8949E-002   4.3428E-007   4.2190E-007   3.1654E-010   3.0947E-010   9.4892E-014   9.0883E-014   2.3787E-014   2.2302E-014   6.6799E-020   6.4235E-020   7.9621E-024   7.1026E-024   1.4789E-028   1.4403E-028   1.5963E-035   1.3366E-035   1.2222E-039   1.2213E-039 
  5.524792842E+011   4.2301E-002   1.2991E+004   7.2883E-003   7.2302E-003   6.4147E-008   6.2319E-008   4.6755E-011   4.5711E-011   1.4016E-014   1.3424E-014   3.5135E-015   3.2942E-015   9.8668E-021   9.4881E-021   1.1761E-024   1.0491E-024   2.1845E-029   2.1274E-029   2.3578E-036   1.9743E-036   1.8052E-040   1.8039E-040 
  6.970246516E+011   5.3822E-002   1.2989E+004   2.3005E-003   2.2821E-003   2.0247E-008   1.9670E-008   1.4758E-011   1.4428E-011   4.4241E-015   4.2372E-015   1.1090E-015   1.0398E-015   3.1143E-021   2.9948E-021   3.7122E-025   3.3114E-025   6.8952E-030   6.7150E-030   7.4423E-037   6.2316E-037   5.6980E-041   5.6939E-041 
  7.646357559E+011   5.9211E-002   1.2989E+004   1.7262E-003   1.7124E-003   1.5193E-008   1.4760E-008   1.1074E-011   1.0826E-011   3.3197E-015   3.1794E-015   8.3214E-016   7.8019E-016   2.3369E-021   2.2472E-021   2.7854E-025   2.4847E-025   5.1738E-030   5.0387E-030   5.5844E-037   4.6759E-037   4.2755E-041   4.2724E-041 
  8.102750180E+011   6.2849E-002   1.2988E+004   1.4789E-003   1.4671E-003   1.3017E-008   1.2646E-008   9.4874E-012   9.2755E-012   2.8442E-015   2.7240E-015   7.1295E-016   6.6844E-016   2.0021E-021   1.9253E-021   2.3865E-025   2.1288E-025   4.4328E-030   4.3169E-030   4.7845E-037   4.0061E-037   3.6631E-041   3.6605E-041 
  1.000760913E+012   7.8034E-002   1.2987E+004   8.7067E-004   8.6373E-004   7.6631E-009   7.4447E-009   5.5854E-012   5.4606E-012   1.6744E-015   1.6037E-015   4.1972E-016   3.9352E-016   1.1787E-021   1.1335E-021   1.4050E-025   1.2533E-025   2.6096E-030   2.5415E-030   2.8167E-037   2.3585E-037   2.1565E-041   2.1550E-041 
  1.322349213E+012   1.0367E-001   1.2986E+004   4.0631E-004   4.0307E-004   3.5761E-009   3.4742E-009   2.6065E-012   2.5483E-012   7.8139E-016   7.4838E-016   1.9587E-016   1.8364E-016   5.5006E-022   5.2895E-022   6.5564E-026   5.8486E-026   1.2178E-030   1.1860E-030   1.3145E-037   1.1006E-037   1.0064E-041   1.0057E-041 
  1.596013674E+012   1.2549E-001   1.2984E+004   2.4093E-004   2.3901E-004   2.1205E-009   2.0600E-009   1.5456E-012   1.5110E-012   4.6333E-016   4.4376E-016   1.1614E-016   1.0889E-016   3.2616E-022   3.1364E-022   3.8877E-026   3.4680E-026   7.2213E-031   7.0326E-031   7.7942E-038   6.5263E-038   5.9674E-042   5.9631E-042 
  1.770752272E+012   1.3943E-001   1.2983E+004   1.8636E-004   1.8488E-004   1.6403E-009   1.5935E-009   1.1955E-012   1.1688E-012   3.5840E-016   3.4326E-016   8.9840E-017   8.4232E-017   2.5230E-022   2.4261E-022   3.0072E-026   2.6826E-026   5.5858E-031   5.4399E-031   6.0290E-038   5.0482E-038   4.6160E-042   4.6126E-042 
  1.841043405E+012   1.4503E-001   1.2983E+004   1.7106E-004   1.6970E-004   1.5056E-009   1.4626E-009   1.0974E-012   1.0728E-012   3.2897E-016   3.1507E-016   8.2462E-017   7.7315E-017   2.3158E-022   2.2269E-022   2.7603E-026   2.4623E-026   5.1271E-031   4.9931E-031   5.5339E-038   4.6337E-038   4.2369E-042   4.2338E-042 
  1.888530761E+012   1.4882E-001   1.2983E+004   1.6233E-004   1.6104E-004   1.4288E-009   1.3880E-009   1.0414E-012   1.0181E-012   3.1219E-016   2.9900E-016   7.8256E-017   7.3371E-017   2.1976E-022   2.1133E-022   2.6195E-026   2.3367E-026   4.8656E-031   4.7385E-031   5.2516E-038   4.3973E-038   4.0208E-042   4.0179E-042 
  1.932171374E+012   1.5230E-001   1.2982E+004   1.5530E-004   1.5406E-004   1.3668E-009   1.3279E-009   9.9624E-013   9.7399E-013   2.9866E-016   2.8604E-016   7.4864E-017   7.0191E-017   2.1024E-022   2.0217E-022   2.5059E-026   2.2354E-026   4.6547E-031   4.5331E-031   5.0240E-038   4.2067E-038   3.8465E-042   3.8437E-042 
  2.019419058E+012   1.5926E-001   1.2982E+004   1.4361E-004   1.4246E-004   1.2639E-009   1.2279E-009   9.2125E-013   9.0067E-013   2.7618E-016   2.6451E-016   6.9229E-017   6.4907E-017   1.9441E-022   1.8695E-022   2.3173E-026   2.0671E-026   4.3043E-031   4.1919E-031   4.6458E-038   3.8901E-038   3.5570E-042   3.5544E-042 
  2.400785308E+012   1.8968E-001   1.2980E+004   1.1613E-004   1.1521E-004   1.0221E-009   9.9297E-010   7.4499E-013   7.2834E-013   2.2333E-016   2.1390E-016   5.5983E-017   5.2488E-017   1.5722E-022   1.5118E-022   1.8739E-026   1.6716E-026   3.4808E-031   3.3898E-031   3.7569E-038   3.1458E-038   2.8764E-042   2.8743E-042 
  3.678238029E+012   2.9162E-001   1.2973E+004   1.0143E-004   1.0062E-004   8.9270E-010   8.6725E-010   6.5066E-013   6.3613E-013   1.9506E-016   1.8682E-016   4.8895E-017   4.5843E-017   1.3731E-022   1.3204E-022   1.6367E-026   1.4600E-026   3.0400E-031   2.9606E-031   3.2813E-038   2.7475E-038   2.5122E-042   2.5104E-042 
  5.802039072E+012   4.6124E-001   1.2962E+004   9.8618E-005   9.7832E-005   8.6797E-010   8.4323E-010   6.3264E-013   6.1851E-013   1.8965E-016   1.8164E-016   4.7541E-017   4.4573E-017   1.3351E-022   1.2838E-022   1.5913E-026   1.4195E-026   2.9559E-031   2.8786E-031   3.1904E-038   2.6714E-038   2.4426E-042   2.4409E-042 
  1.113278928E+013   8.8779E-001   1.2934E+004   9.3262E-005   9.2519E-005   8.2083E-010   7.9744E-010   5.9828E-013   5.8492E-013   1.7935E-016   1.7178E-016   4.4959E-017   4.2152E-017   1.2626E-022   1.2141E-022   1.5049E-026   1.3425E-026   2.7953E-031   2.7223E-031   3.0171E-038   2.5263E-038   2.3100E-042   2.3083E-042 
  2.004456431E+013   1.6035E+000   1.2885E+004   8.6343E-005   8.5655E-005   7.5994E-010   7.3827E-010   5.5390E-013   5.4152E-013   1.6605E-016   1.5903E-016   4.1623E-017   3.9025E-017   1.1689E-022   1.1240E-022   1.3933E-026   1.2429E-026   2.5879E-031   2.5203E-031   2.7933E-038   2.3389E-038   2.1386E-042   2.1371E-042 
  2.245058906E+013   1.7973E+000   1.2872E+004   8.4828E-005   8.4152E-005   7.4660E-010   7.2532E-010   5.4418E-013   5.3202E-013   1.6313E-016   1.5624E-016   4.0893E-017   3.8340E-017   1.1484E-022   1.1043E-022   1.3688E-026   1.2210E-026   2.5425E-031   2.4761E-031   2.7443E-038   2.2978E-038   2.1011E-042   2.0996E-042 
  2.485661380E+013   1.9913E+000   1.2859E+004   8.3441E-005   8.2777E-005   7.3440E-010   7.1347E-010   5.3528E-013   5.2333E-013   1.6047E-016   1.5369E-016   4.0225E-017   3.7714E-017   1.1296E-022   1.0863E-022   1.3465E-026   1.2011E-026   2.5010E-031   2.4356E-031   2.6994E-038   2.2603E-038   2.0667E-042   2.0653E-042 
  2.673989793E+013   2.1434E+000   1.2848E+004   8.2441E-005   8.1784E-005   7.2559E-010   7.0491E-010   5.2886E-013   5.1705E-013   1.5854E-016   1.5185E-016   3.9742E-017   3.7261E-017   1.1161E-022   1.0732E-022   1.3303E-026   1.1867E-026   2.4710E-031   2.4064E-031   2.6670E-038   2.2332E-038   2.0419E-042   2.0405E-042 
  2.793414326E+013   2.2399E+000   1.2841E+004   8.1842E-005   8.1190E-005   7.2033E-010   6.9979E-010   5.2503E-013   5.1330E-013   1.5739E-016   1.5074E-016   3.9454E-017   3.6991E-017   1.1080E-022   1.0654E-022   1.3206E-026   1.1781E-026   2.4531E-031   2.3890E-031   2.6477E-038   2.2170E-038   2.0271E-042   2.0257E-042 
  2.866338150E+013   2.2988E+000   1.2837E+004   8.1491E-005   8.0841E-005   7.1723E-010   6.9679E-010   5.2277E-013   5.1109E-013   1.5672E-016   1.5010E-016   3.9284E-017   3.6832E-017   1.1032E-022   1.0609E-022   1.3150E-026   1.1730E-026   2.4425E-031   2.3787E-031   2.6363E-038   2.2074E-038   2.0184E-042   2.0170E-042 
  2.925507211E+013   2.3467E+000   1.2834E+004   8.1212E-005   8.0565E-005   7.1478E-010   6.9441E-010   5.2098E-013   5.0935E-013   1.5618E-016   1.4958E-016   3.9150E-017   3.6706E-017   1.0994E-022   1.0572E-022   1.3105E-026   1.1690E-026   2.4342E-031   2.3706E-031   2.6273E-038   2.1999E-038   2.0115E-042   2.0101E-042 
  3.331270454E+013   2.6752E+000   1.2811E+004   7.9474E-005   7.8841E-005   6.9948E-010   6.7954E-010   5.0983E-013   4.9844E-013   1.5284E-016   1.4638E-016   3.8312E-017   3.5920E-017   1.0759E-022   1.0346E-022   1.2824E-026   1.1440E-026   2.3821E-031   2.3198E-031   2.5711E-038   2.1528E-038   1.9685E-042   1.9670E-042 
  4.069661713E+013   3.2751E+000   1.2768E+004   7.6999E-005   7.6385E-005   6.7770E-010   6.5838E-010   4.9395E-013   4.8292E-013   1.4808E-016   1.4182E-016   3.7119E-017   3.4802E-017   1.0424E-022   1.0024E-022   1.2425E-026   1.1084E-026   2.3079E-031   2.2476E-031   2.4910E-038   2.0858E-038   1.9072E-042   1.9058E-042 
