     distance         timeN            Tn           0.0           0.1          ****          ****          ****          ****          ****          ****          ****          ****          ****          ****          ****          ****          ****          ****          ****          ****          ****          **** 
  8.283353627E+014   1.5650E+002   9.6716E+001   4.5516E-004   4.5153E-004   4.0060E-009   3.8918E-009   2.9199E-012   2.8546E-012   8.7532E-016   8.3834E-016   2.1942E-016   2.0572E-016   6.1618E-022   5.9253E-022   7.3446E-026   6.5517E-026   1.3642E-030   1.3286E-030   1.4725E-037   1.2329E-037   1.1274E-041   1.1266E-041 
  8.284019650E+014   1.5666E+002   9.4366E+001   4.5468E-004   4.5106E-004   4.0018E-009   3.8877E-009   2.9168E-012   2.8517E-012   8.7441E-016   8.3747E-016   2.1919E-016   2.0551E-016   6.1554E-022   5.9192E-022   7.3369E-026   6.5449E-026   1.3628E-030   1.3272E-030   1.4709E-037   1.2316E-037   1.1262E-041   1.1254E-041 
  8.287075335E+014   1.5737E+002   8.4177E+001   4.5230E-004   4.4870E-004   3.9809E-009   3.8674E-009   2.9016E-012   2.8368E-012   8.6984E-016   8.3309E-016   2.1804E-016   2.0443E-016   6.1232E-022   5.8882E-022   7.2986E-026   6.5107E-026   1.3557E-030   1.3203E-030   1.4632E-037   1.2252E-037   1.1203E-041   1.1195E-041 
  8.289365807E+014   1.5790E+002   7.7209E+001   4.5038E-004   4.4679E-004   3.9640E-009   3.8510E-009   2.8892E-012   2.8247E-012   8.6614E-016   8.2955E-016   2.1712E-016   2.0356E-016   6.0972E-022   5.8632E-022   7.2676E-026   6.4830E-026   1.3499E-030   1.3146E-030   1.4570E-037   1.2200E-037   1.1155E-041   1.1147E-041 
  8.291170416E+014   1.5832E+002   7.2135E+001   4.4884E-004   4.4526E-004   3.9504E-009   3.8378E-009   2.8793E-012   2.8150E-012   8.6317E-016   8.2671E-016   2.1637E-016   2.0286E-016   6.0763E-022   5.8431E-022   7.2427E-026   6.4608E-026   1.3453E-030   1.3101E-030   1.4520E-037   1.2158E-037   1.1117E-041   1.1109E-041 
  8.296395000E+014   1.5955E+002   5.9459E+001   4.4463E-004   4.4108E-004   3.9133E-009   3.8018E-009   2.8523E-012   2.7886E-012   8.5507E-016   8.1895E-016   2.1434E-016   2.0096E-016   6.0193E-022   5.7883E-022   7.1747E-026   6.4001E-026   1.3327E-030   1.2978E-030   1.4384E-037   1.2044E-037   1.1013E-041   1.1005E-041 
  8.299542614E+014   1.6030E+002   5.3152E+001   4.4257E-004   4.3904E-004   3.8952E-009   3.7842E-009   2.8391E-012   2.7757E-012   8.5111E-016   8.1516E-016   2.1335E-016   2.0003E-016   5.9914E-022   5.7615E-022   7.1415E-026   6.3705E-026   1.3265E-030   1.2918E-030   1.4318E-037   1.1988E-037   1.0962E-041   1.0954E-041 
  8.301830893E+014   1.6084E+002   4.9121E+001   4.4142E-004   4.3790E-004   3.8851E-009   3.7744E-009   2.8317E-012   2.7685E-012   8.4891E-016   8.1305E-016   2.1280E-016   1.9951E-016   5.9759E-022   5.7465E-022   7.1230E-026   6.3540E-026   1.3231E-030   1.2885E-030   1.4280E-037   1.1957E-037   1.0933E-041   1.0926E-041 
  8.306909118E+014   1.6205E+002   4.1608E+001   4.4016E-004   4.3665E-004   3.8740E-009   3.7636E-009   2.8237E-012   2.7606E-012   8.4648E-016   8.1072E-016   2.1219E-016   1.9894E-016   5.9588E-022   5.7301E-022   7.1026E-026   6.3358E-026   1.3193E-030   1.2848E-030   1.4240E-037   1.1923E-037   1.0902E-041   1.0894E-041 
  8.314328910E+014   1.6382E+002   3.3458E+001   4.4177E-004   4.3825E-004   3.8882E-009   3.7773E-009   2.8340E-012   2.7707E-012   8.4958E-016   8.1369E-016   2.1296E-016   1.9967E-016   5.9806E-022   5.7511E-022   7.1286E-026   6.3590E-026   1.3241E-030   1.2895E-030   1.4292E-037   1.1967E-037   1.0942E-041   1.0934E-041 
  8.324721467E+014   1.6631E+002   2.5936E+001   4.5018E-004   4.4659E-004   3.9622E-009   3.8493E-009   2.8879E-012   2.8234E-012   8.6575E-016   8.2918E-016   2.1702E-016   2.0347E-016   6.0945E-022   5.8606E-022   7.2643E-026   6.4801E-026   1.3493E-030   1.3141E-030   1.4564E-037   1.2195E-037   1.1150E-041   1.1142E-041 
  8.344155873E+014   1.7099E+002   1.8532E+001   4.7930E-004   4.7548E-004   4.2185E-009   4.0983E-009   3.0748E-012   3.0061E-012   9.2176E-016   8.8282E-016   2.3106E-016   2.1663E-016   6.4887E-022   6.2397E-022   7.7342E-026   6.8993E-026   1.4366E-030   1.3991E-030   1.5506E-037   1.2983E-037   1.1872E-041   1.1863E-041 
  8.356385733E+014   1.7394E+002   1.6099E+001   5.0482E-004   5.0080E-004   4.4431E-009   4.3164E-009   3.2384E-012   3.1661E-012   9.7083E-016   9.2981E-016   2.4336E-016   2.2817E-016   6.8341E-022   6.5719E-022   8.1460E-026   7.2666E-026   1.5131E-030   1.4735E-030   1.6331E-037   1.3675E-037   1.2504E-041   1.2495E-041 
  8.390655961E+014   1.8223E+002   1.2837E+001   6.0994E-004   6.0509E-004   5.3684E-009   5.2153E-009   3.9128E-012   3.8254E-012   1.1730E-015   1.1234E-015   2.9404E-016   2.7568E-016   8.2574E-022   7.9404E-022   9.8424E-026   8.7798E-026   1.8282E-030   1.7804E-030   1.9732E-037   1.6522E-037   1.5108E-041   1.5097E-041 
  8.418309774E+014   1.8892E+002   1.1756E+001   7.3895E-004   7.3306E-004   6.5038E-009   6.3184E-009   4.7404E-012   4.6345E-012   1.4211E-015   1.3611E-015   3.5623E-016   3.3399E-016   1.0004E-021   9.6198E-022   1.1924E-025   1.0637E-025   2.2148E-030   2.1570E-030   2.3906E-037   2.0017E-037   1.8303E-041   1.8290E-041 
  8.449085272E+014   1.9637E+002   1.1160E+001   9.4188E-004   9.3438E-004   8.2899E-009   8.0536E-009   6.0422E-012   5.9073E-012   1.8114E-015   1.7348E-015   4.5405E-016   4.2571E-016   1.2751E-021   1.2262E-021   1.5199E-025   1.3558E-025   2.8231E-030   2.7493E-030   3.0471E-037   2.5514E-037   2.3329E-041   2.3312E-041 
  8.490162265E+014   2.0632E+002   1.0822E+001   1.3357E-003   1.3251E-003   1.1756E-008   1.1421E-008   8.5689E-012   8.3775E-012   2.5688E-015   2.4603E-015   6.4393E-016   6.0373E-016   1.8083E-021   1.7389E-021   2.1554E-025   1.9227E-025   4.0036E-030   3.8990E-030   4.3213E-037   3.6183E-037   3.3085E-041   3.3061E-041 
  8.640402221E+014   2.4272E+002   1.1007E+001   3.8774E-003   3.8465E-003   3.4127E-008   3.3154E-008   2.4874E-011   2.4318E-011   7.4568E-015   7.1418E-015   1.8692E-015   1.7525E-015   5.2492E-021   5.0478E-021   6.2568E-025   5.5814E-025   1.1622E-029   1.1318E-029   1.2544E-036   1.0503E-036   9.6039E-041   9.5970E-041 
  8.798373622E+014   2.8098E+002   1.1702E+001   5.1362E-003   5.0953E-003   4.5206E-008   4.3917E-008   3.2949E-011   3.2213E-011   9.8776E-015   9.4603E-015   2.4760E-015   2.3215E-015   6.9533E-021   6.6865E-021   8.2880E-025   7.3933E-025   1.5395E-029   1.4992E-029   1.6616E-036   1.3913E-036   1.2722E-040   1.2713E-040 
  8.806993428E+014   2.8306E+002   1.1740E+001   5.1321E-003   5.0912E-003   4.5170E-008   4.3882E-008   3.2923E-011   3.2188E-011   9.8698E-015   9.4528E-015   2.4741E-015   2.3196E-015   6.9478E-021   6.6812E-021   8.2815E-025   7.3874E-025   1.5382E-029   1.4981E-029   1.6603E-036   1.3902E-036   1.2712E-040   1.2702E-040 
  8.810952964E+014   2.8402E+002   1.1758E+001   5.1178E-003   5.0770E-003   4.5043E-008   4.3759E-008   3.2831E-011   3.2098E-011   9.8421E-015   9.4263E-015   2.4671E-015   2.3131E-015   6.9284E-021   6.6625E-021   8.2583E-025   7.3667E-025   1.5339E-029   1.4939E-029   1.6557E-036   1.3863E-036   1.2676E-040   1.2667E-040 
  8.813929913E+014   2.8474E+002   1.1771E+001   5.1095E-003   5.0688E-003   4.4971E-008   4.3689E-008   3.2778E-011   3.2046E-011   9.8262E-015   9.4111E-015   2.4631E-015   2.3094E-015   6.9172E-021   6.6517E-021   8.2449E-025   7.3548E-025   1.5315E-029   1.4914E-029   1.6530E-036   1.3841E-036   1.2656E-040   1.2646E-040 
  8.884433659E+014   3.0181E+002   1.2073E+001   4.7443E-003   4.7065E-003   4.1756E-008   4.0566E-008   3.0435E-011   2.9755E-011   9.1238E-015   8.7384E-015   2.2871E-015   2.1443E-015   6.4227E-021   6.1762E-021   7.6556E-025   6.8291E-025   1.4220E-029   1.3848E-029   1.5348E-036   1.2851E-036   1.1751E-040   1.1742E-040 
  9.044113132E+014   3.4046E+002   1.2678E+001   3.4665E-003   3.4389E-003   3.0510E-008   2.9641E-008   2.2238E-011   2.1741E-011   6.6666E-015   6.3850E-015   1.6711E-015   1.5668E-015   4.6930E-021   4.5128E-021   5.5938E-025   4.9899E-025   1.0390E-029   1.0119E-029   1.1215E-036   9.3902E-037   8.5862E-041   8.5800E-041 
  9.161266635E+014   3.6881E+002   1.3051E+001   2.6253E-003   2.6044E-003   2.3106E-008   2.2448E-008   1.6842E-011   1.6465E-011   5.0488E-015   4.8355E-015   1.2656E-015   1.1866E-015   3.5541E-021   3.4177E-021   4.2363E-025   3.7790E-025   7.8688E-030   7.6632E-030   8.4931E-037   7.1115E-037   6.5026E-041   6.4979E-041 
  9.180022588E+014   3.7334E+002   1.3105E+001   2.5078E-003   2.4878E-003   2.2072E-008   2.1443E-008   1.6087E-011   1.5728E-011   4.8227E-015   4.6190E-015   1.2089E-015   1.1335E-015   3.3950E-021   3.2647E-021   4.0466E-025   3.6098E-025   7.5165E-030   7.3201E-030   8.1129E-037   6.7931E-037   6.2114E-041   6.2069E-041 
  9.190282938E+014   3.7583E+002   1.3134E+001   2.4456E-003   2.4262E-003   2.1525E-008   2.0911E-008   1.5689E-011   1.5339E-011   4.7033E-015   4.5046E-015   1.1790E-015   1.1054E-015   3.3109E-021   3.1838E-021   3.9464E-025   3.5204E-025   7.3303E-030   7.1388E-030   7.9119E-037   6.6248E-037   6.0575E-041   6.0532E-041 
  9.300615265E+014   4.0252E+002   1.3424E+001   1.8671E-003   1.8522E-003   1.6433E-008   1.5964E-008   1.1977E-011   1.1710E-011   3.5906E-015   3.4389E-015   9.0005E-016   8.4387E-016   2.5276E-021   2.4306E-021   3.0128E-025   2.6875E-025   5.5961E-030   5.4499E-030   6.0401E-037   5.0575E-037   4.6245E-041   4.6211E-041 
  9.338122760E+014   4.1159E+002   1.3513E+001   1.7051E-003   1.6915E-003   1.5007E-008   1.4579E-008   1.0938E-011   1.0694E-011   3.2791E-015   3.1405E-015   8.2196E-016   7.7065E-016   2.3083E-021   2.2197E-021   2.7514E-025   2.4543E-025   5.1106E-030   4.9770E-030   5.5161E-037   4.6187E-037   4.2232E-041   4.2202E-041 
  9.361558884E+014   4.1726E+002   1.3566E+001   1.6108E-003   1.5980E-003   1.4177E-008   1.3773E-008   1.0333E-011   1.0103E-011   3.0978E-015   2.9669E-015   7.7653E-016   7.2805E-016   2.1807E-021   2.0970E-021   2.5993E-025   2.3187E-025   4.8281E-030   4.7019E-030   5.2112E-037   4.3634E-037   3.9898E-041   3.9869E-041 
  9.553949578E+014   4.6379E+002   1.3941E+001   1.0257E-003   1.0176E-003   9.0280E-009   8.7707E-009   6.5802E-012   6.4333E-012   1.9726E-015   1.8893E-015   4.9448E-016   4.6362E-016   1.3886E-021   1.3353E-021   1.6552E-025   1.4765E-025   3.0745E-030   2.9941E-030   3.3184E-037   2.7786E-037   2.5406E-041   2.5388E-041 
  9.746654460E+014   5.1039E+002   1.4225E+001   6.7180E-004   6.6645E-004   5.9128E-009   5.7442E-009   4.3096E-012   4.2134E-012   1.2920E-015   1.2374E-015   3.2386E-016   3.0364E-016   9.0947E-022   8.7457E-022   1.0840E-025   9.6702E-026   2.0136E-030   1.9610E-030   2.1733E-037   1.8198E-037   1.6640E-041   1.6628E-041 
  9.986487234E+014   5.6837E+002   1.4482E+001   4.1142E-004   4.0814E-004   3.6211E-009   3.5179E-009   2.6393E-012   2.5803E-012   7.9122E-016   7.5779E-016   1.9833E-016   1.8595E-016   5.5698E-022   5.3560E-022   6.6389E-026   5.9222E-026   1.2332E-030   1.2009E-030   1.3310E-037   1.1145E-037   1.0190E-041   1.0183E-041 
  1.009148047E+015   5.9376E+002   1.4568E+001   3.3546E-004   3.3279E-004   2.9526E-009   2.8684E-009   2.1520E-012   2.1040E-012   6.4514E-016   6.1789E-016   1.6172E-016   1.5162E-016   4.5415E-022   4.3672E-022   5.4132E-026   4.8288E-026   1.0055E-030   9.7921E-031   1.0853E-037   9.0871E-038   8.3090E-042   8.3030E-042 
  1.034787379E+015   6.5574E+002   1.4729E+001   2.0825E-004   2.0659E-004   1.8329E-009   1.7806E-009   1.3359E-012   1.3061E-012   4.0049E-016   3.8357E-016   1.0039E-016   9.4124E-017   2.8192E-022   2.7110E-022   3.3604E-026   2.9976E-026   6.2418E-031   6.0787E-031   6.7371E-038   5.6411E-038   5.1580E-042   5.1543E-042 
  1.111169056E+015   8.4036E+002   1.4958E+001   5.5847E-005   5.5402E-005   4.9153E-010   4.7752E-010   3.5826E-013   3.5026E-013   1.0740E-016   1.0286E-016   2.6922E-017   2.5242E-017   7.5605E-023   7.2703E-023   9.0117E-027   8.0388E-027   1.6739E-031   1.6302E-031   1.8067E-038   1.5128E-038   1.3833E-042   1.3823E-042 
  1.238312389E+015   1.1476E+003   1.5044E+001   7.5326E-006   7.4726E-006   6.6298E-011   6.4408E-011   4.8322E-014   4.7243E-014   1.4486E-017   1.3874E-017   3.6313E-018   3.4046E-018   1.0198E-023   9.8062E-024   1.2155E-027   1.0843E-027   2.2578E-032   2.1988E-032   2.4369E-039   2.0405E-039   1.8657E-043   1.8644E-043 
  1.393263656E+015   1.5221E+003   1.5056E+001   1.2673E-006   1.2572E-006   1.1154E-011   1.0836E-011   8.1298E-015   7.9482E-015   2.4372E-018   2.3342E-018   6.1093E-019   5.7279E-019   1.7157E-024   1.6498E-024   2.0450E-028   1.8242E-028   3.7985E-033   3.6992E-033   4.0998E-040   3.4329E-040   3.1389E-044   3.1367E-044 
