     Distance         timeN            Tn        a6D-J9        a6D-J7        a6D-J5        a6D-J3        a6D-J1        a4F-J9        a4F-J7        a4F-J5        a4F-J3        a4D-J7        a4D-J5        a4D-J3        a4D-J1        a4P-J5        a4P-J3        a4P-J1        b4P-J5        b4P-J3        b4P-J1       a4H-J13       a4H-J11        a4H-J9        a4H-J7        b4F-J9        b4F-J7        b4F-J5        b4F-J3       a4G-J11        a4G-J9        a4G-J7        a4G-J5        b4D-J7        b4D-J5        b4D-J3        b4D-J1 
  2.468838384E+009   1.2495E-004   3.3134E+004   7.1847E-001   8.7325E-002   6.5433E-002   5.6123E-002   3.8855E-002   2.5389E-002   3.3889E-003   2.3166E-003   1.6479E-003   3.6840E-004   2.5338E-004   1.6443E-004   7.0453E-005   6.7935E-005   4.8339E-005   2.2324E-005   1.9388E-006   1.0220E-006   4.5945E-007   8.4053E-006   7.6026E-006   6.6666E-006   5.6675E-006   3.1080E-006   2.8670E-006   2.6175E-006   2.1570E-006   2.5682E-006   2.0528E-006   1.6558E-006   1.2605E-006   9.6897E-007   7.9610E-007   5.3596E-007   2.6397E-007 
  3.671989515E+009   1.8664E-004   3.2984E+004   7.0571E-001   8.6758E-002   6.4889E-002   5.5346E-002   3.7692E-002   3.7229E-002   4.9915E-003   3.4111E-003   2.4243E-003   5.4405E-004   3.7412E-004   2.4271E-004   1.0394E-004   1.0028E-004   7.1340E-005   3.2934E-005   2.8602E-006   1.5074E-006   6.7762E-007   1.2399E-005   1.1215E-005   9.8335E-006   8.3595E-006   4.5836E-006   4.2281E-006   3.8599E-006   3.1808E-006   3.7854E-006   3.0256E-006   2.4404E-006   1.8578E-006   1.4266E-006   1.1721E-006   7.8908E-007   3.8863E-007 
  7.375119935E+009   3.7863E-004   3.2486E+004   6.6764E-001   8.5196E-002   6.3376E-002   5.3151E-002   3.4467E-002   7.1913E-002   9.7852E-003   6.6797E-003   4.7336E-003   1.0759E-003   7.3946E-004   4.7920E-004   2.0484E-004   1.9799E-004   1.4076E-004   6.4904E-005   5.6357E-006   2.9686E-006   1.3341E-006   2.4426E-005   2.2090E-005   1.9367E-005   1.6462E-005   9.0219E-006   8.3211E-006   7.5957E-006   6.2585E-006   7.4376E-006   5.9432E-006   4.7931E-006   3.6486E-006   2.7916E-006   2.2937E-006   1.5443E-006   7.6056E-007 
  1.485303951E+010   7.7767E-004   3.1316E+004   5.9518E-001   8.2716E-002   6.0927E-002   4.9432E-002   2.9268E-002   1.3527E-001   1.9049E-002   1.2972E-002   9.1318E-003   2.1387E-003   1.4680E-003   9.4888E-004   4.0396E-004   3.9196E-004   2.7824E-004   1.2792E-004   1.1099E-005   5.8388E-006   2.6221E-006   4.8084E-005   4.3472E-005   3.8102E-005   3.2374E-005   1.7722E-005   1.6340E-005   1.4911E-005   1.2283E-005   1.4545E-005   1.1616E-005   9.3650E-006   7.1280E-006   5.4053E-006   4.4419E-006   2.9906E-006   1.4729E-006 
  2.097226566E+010   1.1179E-003   3.0188E+004   5.3927E-001   8.1246E-002   5.9422E-002   4.6956E-002   2.6033E-002   1.8156E-001   2.6434E-002   1.7959E-002   1.2565E-002   3.0300E-003   2.0774E-003   1.3394E-003   5.6802E-004   5.5289E-004   3.9188E-004   1.7964E-004   1.5570E-005   8.1794E-006   3.6706E-006   6.7421E-005   6.0934E-005   5.3389E-005   4.5346E-005   2.4792E-005   2.2853E-005   2.0848E-005   1.7168E-005   2.0256E-005   1.6165E-005   1.3029E-005   9.9157E-006   7.4501E-006   6.1231E-006   4.1227E-006   2.0305E-006 
  2.586395657E+010   1.4004E-003   2.9183E+004   4.9659E-001   8.0381E-002   5.8498E-002   4.5285E-002   2.3984E-002   2.1519E-001   3.2296E-002   2.1899E-002   1.5239E-002   3.7738E-003   2.5845E-003   1.6626E-003   7.0278E-004   6.8567E-004   4.8530E-004   2.2188E-004   1.9205E-005   1.0076E-005   4.5186E-006   8.3125E-005   7.5104E-005   6.5785E-005   5.5855E-005   3.0502E-005   2.8108E-005   2.5634E-005   2.1104E-005   2.4811E-005   1.9789E-005   1.5945E-005   1.2133E-005   9.0359E-006   7.4276E-006   5.0012E-006   2.4631E-006 
  4.247073082E+010   2.4414E-003   2.5459E+004   3.7076E-001   7.9288E-002   5.7079E-002   4.1535E-002   1.9930E-002   3.0302E-001   5.1633E-002   3.4781E-002   2.3741E-002   6.5380E-003   4.4590E-003   2.8442E-003   1.1890E-003   1.1667E-003   8.2081E-004   3.7137E-004   3.1904E-005   1.6642E-005   7.4405E-006   1.3779E-004   1.2432E-004   1.0875E-004   9.2188E-005   5.0089E-005   4.6099E-005   4.1986E-005   3.4523E-005   3.9967E-005   3.1791E-005   2.5584E-005   1.9457E-005   1.3938E-005   1.1464E-005   7.7203E-006   3.8022E-006 
  5.423624118E+010   3.2498E-003   2.3139E+004   3.0868E-001   8.0234E-002   5.7651E-002   4.0678E-002   1.9113E-002   3.3531E-001   6.3393E-002   4.2561E-002   2.8703E-002   8.5457E-003   5.8133E-003   3.6876E-003   1.5326E-003   1.5077E-003   1.0558E-003   4.7418E-004   4.0491E-005   2.1026E-005   9.3785E-006   1.7454E-004   1.5731E-004   1.3745E-004   1.1638E-004   6.2992E-005   5.7913E-005   5.2690E-005   4.3280E-005   4.9509E-005   3.9298E-005   3.1592E-005   2.4016E-005   1.6687E-005   1.3732E-005   9.2488E-006   4.5549E-006 
  6.292441705E+010   3.8686E-003   2.1741E+004   2.7857E-001   8.1712E-002   5.8728E-002   4.0805E-002   1.9125E-002   3.4479E-001   7.0283E-002   4.7115E-002   3.1544E-002   9.9044E-003   6.7274E-003   4.2530E-003   1.7625E-003   1.7364E-003   1.2120E-003   5.4172E-004   4.6076E-005   2.3849E-005   1.0621E-005   1.9831E-004   1.7860E-004   1.5594E-004   1.3191E-004   7.1214E-005   6.5423E-005   5.9476E-005   4.8817E-005   5.5377E-005   4.3890E-005   3.5259E-005   2.6795E-005   1.8222E-005   1.5000E-005   1.0104E-005   4.9760E-006 
  8.411011849E+010   5.4083E-003   1.8959E+004   2.4200E-001   8.6710E-002   6.2432E-002   4.2498E-002   2.0022E-002   3.4054E-001   8.1114E-002   5.4301E-002   3.5918E-002   1.2591E-002   8.5290E-003   5.3584E-003   2.2146E-003   2.1725E-003   1.5055E-003   6.6638E-004   5.5919E-005   2.8718E-005   1.2739E-005   2.3974E-004   2.1551E-004   1.8780E-004   1.5853E-004   8.5052E-005   7.7994E-005   7.0769E-005   5.7978E-005   6.4450E-005   5.0897E-005   4.0817E-005   3.0995E-005   2.0007E-005   1.6482E-005   1.1105E-005   5.4688E-006 
