     distance         timeN         timeI            nH         op_H2            Vn            Vi            Tn            Ti            Te        Vsound       Vmagnet          rhoN          rhoI        rhoNEG      DensityN      DensityI    DensityNEG           muN           muI         muNEG       -dVn/dz       -dVi/dz    Nlayers_gr      n(grain)      MDens_gr MDens_gr_char        Rgrain     -DissH2_t     -DissH2_n     -DissH2_i     -DissH2_e       F_gr_H2     E_gr_H2_K         x(H2)          x(H)         x(H+)     sum(neut)     sum(ions)     sum(nega)         Vgrad 
  1.631803929E+015   2.0684E+001   2.0684E+001   1.0000E+005   3.0000E+000   2.5000E+006   2.5000E+006   9.9967E+000   9.9967E+000   9.9967E+000   2.4169E+004   6.4467E+005   2.3653E-019   4.2518E-025   5.5839E-024   6.0066E+004   5.2038E-003   5.0438E-003   3.9379E-024   8.1706E-023   1.1071E-021  -2.8272E-017  -2.8272E-017   8.4055E+001   4.5816E-006   1.9909E-021   1.8547E-022   4.6611E-006  -0.0000E+000  -0.0000E+000  -0.0000E+000  -0.0000E+000   6.0510E-012   2.1501E+004   5.0000E-001   5.1550E-006   6.0947E-010   6.0009E+004   5.2038E-003   5.0438E-003   2.9531E-016 
  2.573532971E+015   3.2621E+001   3.2621E+001   1.0000E+005   3.0000E+000   2.5000E+006   2.5000E+006   9.9948E+000   9.9948E+000   9.9948E+000   2.4167E+004   6.4400E+005   2.3653E-019   4.2518E-025   5.5840E-024   6.0066E+004   5.2038E-003   5.0438E-003   3.9379E-024   8.1706E-023   1.1071E-021  -2.8240E-017  -2.8240E-017   8.4055E+001   4.5816E-006   1.9909E-021   1.8587E-022   4.6611E-006  -0.0000E+000  -0.0000E+000  -0.0000E+000  -0.0000E+000   6.0505E-012   2.1501E+004   5.0000E-001   5.1550E-006   6.0943E-010   6.0009E+004   5.2038E-003   5.0438E-003   1.8358E-016 
  3.837665157E+015   4.8644E+001   4.8644E+001   1.0000E+005   3.0000E+000   2.5000E+006   2.5000E+006   9.9923E+000   9.9923E+000   9.9923E+000   2.4164E+004   6.4440E+005   2.3653E-019   4.2517E-025   5.5840E-024   6.0066E+004   5.2038E-003   5.0438E-003   3.9379E-024   8.1704E-023   1.1071E-021  -2.8196E-017  -2.8196E-017   8.4055E+001   4.5816E-006   1.9909E-021   1.8563E-022   4.6611E-006  -0.0000E+000  -0.0000E+000  -0.0000E+000  -0.0000E+000   6.0498E-012   2.1501E+004   5.0000E-001   5.1550E-006   6.0938E-010   6.0009E+004   5.2038E-003   5.0438E-003   1.2621E-016 
  2.347985182E+016   2.9762E+002   2.9762E+002   1.0000E+005   3.0000E+000   2.5000E+006   2.5000E+006   9.9533E+000   9.9533E+000   9.9533E+000   2.4117E+004   6.4507E+005   2.3653E-019   4.2458E-025   5.5781E-024   6.0066E+004   5.1984E-003   5.0385E-003   3.9379E-024   8.1675E-023   1.1071E-021  -2.7525E-017  -2.7525E-017   8.4055E+001   4.5816E-006   1.9909E-021   1.8524E-022   4.6611E-006  -0.0000E+000  -0.0000E+000  -0.0000E+000  -0.0000E+000   6.0402E-012   2.1501E+004   5.0000E-001   5.1559E-006   6.0896E-010   6.0009E+004   5.1984E-003   5.0385E-003   2.3894E-017 
  9.116676809E+016   1.1556E+003   1.1556E+003   1.0000E+005   3.0000E+000   2.5000E+006   2.5000E+006   9.8258E+000   9.8258E+000   9.8258E+000   2.3962E+004   6.4727E+005   2.3653E-019   4.2224E-025   5.5536E-024   6.0066E+004   5.1760E-003   5.0164E-003   3.9379E-024   8.1576E-023   1.1071E-021  -2.5326E-017  -2.5326E-017   8.4052E+001   4.5816E-006   1.9908E-021   1.8397E-022   4.6610E-006  -0.0000E+000  -0.0000E+000  -0.0000E+000  -0.0000E+000   6.0198E-012   2.1501E+004   5.0000E-001   5.1686E-006   6.0806E-010   6.0009E+004   5.1760E-003   5.0164E-003   5.4137E-018 
  1.647828898E+017   2.0887E+003   2.0887E+003   1.0000E+005   3.0000E+000   2.5000E+006   2.5000E+006   9.6987E+000   9.6987E+000   9.6987E+000   2.3806E+004   6.4951E+005   2.3653E-019   4.1986E-025   5.5286E-024   6.0066E+004   5.1533E-003   4.9938E-003   3.9379E-024   8.1475E-023   1.1071E-021  -2.3137E-017  -2.3137E-017   8.4049E+001   4.5816E-006   1.9908E-021   1.8269E-022   4.6609E-006  -0.0000E+000  -0.0000E+000  -0.0000E+000  -0.0000E+000   6.0105E-012   2.1501E+004   5.0000E-001   5.1912E-006   6.0722E-010   6.0009E+004   5.1533E-003   4.9938E-003   2.8666E-018 
  2.383990116E+017   3.0218E+003   3.0218E+003   1.0000E+005   3.0000E+000   2.5000E+006   2.5000E+006   9.5826E+000   9.5826E+000   9.5826E+000   2.3663E+004   6.5159E+005   2.3653E-019   4.1767E-025   5.5057E-024   6.0066E+004   5.1323E-003   4.9731E-003   3.9379E-024   8.1381E-023   1.1071E-021  -2.1143E-017  -2.1143E-017   8.4046E+001   4.5816E-006   1.9908E-021   1.8151E-022   4.6608E-006  -0.0000E+000  -0.0000E+000  -0.0000E+000  -0.0000E+000   6.0080E-012   2.1501E+004   5.0000E-001   5.2176E-006   6.0646E-010   6.0009E+004   5.1323E-003   4.9731E-003   1.9434E-018 
  7.887101696E+017   9.9973E+003   9.9973E+003   1.0000E+005   3.0000E+000   2.5000E+006   2.5000E+006   8.9768E+000   8.9768E+000   8.9768E+000   2.2903E+004   6.6299E+005   2.3653E-019   4.0601E-025   5.3842E-024   6.0066E+004   5.0213E-003   4.8633E-003   3.9379E-024   8.0858E-023   1.1071E-021  -1.0904E-017  -1.0904E-017   8.4023E+001   4.5816E-006   1.9906E-021   1.7525E-022   4.6600E-006  -0.0000E+000  -0.0000E+000  -0.0000E+000  -0.0000E+000   6.0286E-012   2.1501E+004   5.0000E-001   5.3942E-006   6.0255E-010   6.0009E+004   5.0213E-003   4.8633E-003   6.4029E-019 
  2.870984921E+018   3.6391E+004   3.6391E+004   1.0000E+005   3.0000E+000   2.5000E+006   2.5000E+006   8.3681E+000   8.3681E+000   8.3681E+000   2.2113E+004   6.7549E+005   2.3653E-019   3.9402E-025   5.2646E-024   6.0066E+004   4.9119E-003   4.7553E-003   3.9379E-024   8.0218E-023   1.1071E-021  -9.9718E-019  -9.9718E-019   8.3939E+001   4.5816E-006   1.9899E-021   1.6874E-022   4.6573E-006  -0.0000E+000  -0.0000E+000  -0.0000E+000  -0.0000E+000   6.0597E-012   2.1501E+004   5.0000E-001   5.6048E-006   5.9760E-010   6.0009E+004   4.9119E-003   4.7553E-003   1.6330E-019 
  5.575657559E+018   7.0674E+004   7.0674E+004   1.0000E+005   3.0000E+000   2.5000E+006   2.5000E+006   8.3062E+000   8.3062E+000   8.3062E+000   2.2031E+004   6.7690E+005   2.3653E-019   3.9287E-025   5.2577E-024   6.0066E+004   4.9055E-003   4.7491E-003   3.9379E-024   8.0088E-023   1.1071E-021  -6.2465E-020  -6.2465E-020   8.3830E+001   4.5816E-006   1.9890E-021   1.6802E-022   4.6536E-006  -0.0000E+000  -0.0000E+000  -0.0000E+000  -0.0000E+000   6.0606E-012   2.1501E+004   5.0000E-001   5.6334E-006   5.9571E-010   6.0009E+004   4.9055E-003   4.7491E-003   7.9804E-020 
  1.546905962E+019   1.9608E+005   1.9608E+005   1.0000E+005   3.0000E+000   2.5000E+006   2.5000E+006   8.2937E+000   8.2937E+000   8.2937E+000   2.2015E+004   6.7762E+005   2.3653E-019   3.9346E-025   5.2661E-024   6.0066E+004   4.9126E-003   4.7567E-003   3.9379E-024   8.0091E-023   1.1071E-021  -1.2834E-020  -1.2833E-020   8.3431E+001   4.5816E-006   1.9857E-021   1.6765E-022   4.6405E-006  -0.0000E+000  -0.0000E+000  -0.0000E+000  -0.0000E+000   6.0662E-012   2.1501E+004   5.0000E-001   5.6746E-006   5.9108E-010   6.0009E+004   4.9126E-003   4.7567E-003   3.2239E-020 
