     distance         timeN            Tn         E(H2)       E(13CO)         E(OH)        E(NH3)       E(r,CO)       E(v,CO)         E(CO)         W(CO)         G(CO)    E(r,o-H2O)    E(r,p-H2O)      E(v,H2O)        E(H2O)       W(oH2O)       G(oH2O)       W(pH2O)       G(pH2O)       W(oNH3)       G(oNH3)       W(pNH3)       G(pNH3)         W(OH)         G(OH)      W(atype)      G(atype)      W(etype)      G(etype)         E(C+)        E(Si+)          E(C)         E(Si)          E(O)         E(S+)         E(N+)        E(Fe+)       E(H+H2) 
  1.478766991E+008   6.8108E-006   3.3402E+004   9.8021E-017   1.7275E-017   1.4039E-016   2.1746E-021   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   5.7616E-017  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   2.2223E-024   8.8601E-031   2.6935E-023   1.2726E-029   1.6306E-019   7.4712E-025   8.7212E-029   3.7074E-021   1.8339E-018 
  1.836939863E+008   8.6260E-006   3.3398E+004   1.2909E-016   1.7278E-017   1.2865E-016   3.3864E-021   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   7.5047E-017  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   2.2193E-024   8.8549E-031   2.4587E-023   1.3314E-029   6.8344E-020   7.4706E-025   8.6535E-029   4.0426E-021   1.8367E-018 
  2.602677954E+008   1.2507E-005   3.3390E+004   2.0014E-016   1.7286E-017   1.0063E-016   7.9376E-021   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   1.0665E-016  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   2.2128E-024   8.8461E-031   2.0244E-023   1.5063E-029   1.0925E-020   7.4714E-025   8.5127E-029   4.7519E-021   1.8430E-018 
  4.717893789E+008   2.3235E-005   3.3367E+004   4.2796E-016   1.7308E-017   4.7658E-017   3.8620E-020   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   1.6054E-016  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   2.1952E-024   8.8387E-031   1.1917E-023   2.3421E-029   4.3454E-022   7.4863E-025   8.1493E-029   6.6881E-021   1.8639E-018 
  7.756203642E+008   3.8659E-005   3.3333E+004   8.3146E-016   1.7339E-017   1.6504E-017   1.3894E-019   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   1.9194E-016  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   2.1702E-024   8.8706E-031   5.7908E-024   4.4721E-029   2.2049E-022   7.5400E-025   7.6862E-029   9.4399E-021   1.9024E-018 
  1.362008401E+009   6.8477E-005   3.3266E+004   1.8404E-015   1.7401E-017   3.2323E-018   5.2947E-019   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   2.0589E-016  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   2.1227E-024   9.0745E-031   2.1182E-024   1.1883E-028   7.3140E-023   7.7484E-025   6.9560E-029   1.4711E-020   2.0055E-018 
  2.468838384E+009   1.2495E-004   3.3134E+004   4.4510E-015   1.7524E-017   2.7800E-018   1.8932E-018   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   2.0817E-016  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   2.0363E-024   9.9749E-031   2.0545E-024   3.9749E-028   1.0301E-022   8.4988E-025   5.9962E-029   2.4600E-020   2.3079E-018 
  3.671989515E+009   1.8664E-004   3.2984E+004   8.1496E-015   1.7663E-017   4.4554E-018   4.1051E-018   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   2.0890E-016  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   1.9470E-024   1.1761E-030   3.2184E-024   9.7297E-028   2.4265E-022   9.8076E-025   5.3223E-029   3.5308E-020   2.8053E-018 
  7.375119935E+009   3.7863E-004   3.2486E+004   2.3861E-014   1.8120E-017   1.0880E-017   1.3650E-017   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   2.1235E-016  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   1.6977E-024   2.4956E-030   7.9414E-024   6.1288E-027   1.1522E-021   1.6580E-024   4.2220E-029   6.8290E-020   5.5535E-018 
  1.485303951E+010   7.7767E-004   3.1316E+004   7.2687E-014   1.9183E-017   3.1960E-017   3.5148E-017   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   2.2549E-016  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   1.2952E-024   2.4464E-029   2.7942E-023   6.1657E-026   6.4345E-021   3.8454E-024   1.5215E-028   1.3716E-019   1.7430E-017 
