     distance         timeN            Tn          Mass     Mass_cons    Moment_kin    Moment_the    Moment_mag    Moment_vis        Moment      Mom_cons    Energy_kin    Energy_the    Energy_int    Energy_mag    Energy_vis        Energy    Energ_cons 
  8.411011849E+010   5.4083E-003   1.8959E+004   5.9135E-013  -2.1522E-010   2.5530E-007   1.2213E-006   1.3343E-009   0.0000E+000   1.4780E-006   4.5950E-004   5.5108E-002   1.3182E+000   2.2270E-001   1.1521E-003   0.0000E+000   1.5971E+000   3.3072E-004 
  1.083101482E+011   7.2038E-003   1.6694E+004   5.9135E-013  -2.2308E-010   2.4994E-007   1.2266E-006   1.3920E-009   0.0000E+000   1.4780E-006   4.5949E-004   5.2822E-002   1.2961E+000   1.4596E-001   1.1767E-003   0.0000E+000   1.4961E+000   3.3925E-004 
  1.211767408E+011   8.1735E-003   1.5856E+004   5.9135E-013  -2.2615E-010   2.4742E-007   1.2291E-006   1.4206E-009   0.0000E+000   1.4780E-006   4.5949E-004   5.1758E-002   1.2856E+000   1.1495E-001   1.1887E-003   0.0000E+000   1.4535E+000   3.3887E-004 
  1.249047645E+011   8.4562E-003   1.5652E+004   5.9135E-013  -2.2717E-010   2.4674E-007   1.2298E-006   1.4284E-009   0.0000E+000   1.4780E-006   4.5948E-004   5.1476E-002   1.2828E+000   1.0719E-001   1.1920E-003   0.0000E+000   1.4427E+000   3.3880E-004 
  1.582169745E+011   1.1013E-002   1.4384E+004   5.9135E-013  -2.3873E-010   2.4194E-007   1.2345E-006   1.4856E-009   0.0000E+000   1.4780E-006   4.5948E-004   4.9493E-002   1.2627E+000   5.7354E-002   1.2156E-003   0.0000E+000   1.3708E+000   3.2982E-004 
  1.931668970E+011   1.3739E-002   1.3716E+004   5.9135E-013  -2.5357E-010   2.3891E-007   1.2375E-006   1.5236E-009   0.0000E+000   1.4780E-006   4.5948E-004   4.8260E-002   1.2499E+000   3.0070E-002   1.2311E-003   0.0000E+000   1.3295E+000   3.1954E-004 
  2.529834143E+011   1.8458E-002   1.3236E+004   5.9135E-013  -2.8327E-010   2.3648E-007   1.2399E-006   1.5550E-009   0.0000E+000   1.4780E-006   4.5950E-004   4.7284E-002   1.2396E+000   1.0215E-002   1.2437E-003   0.0000E+000   1.2984E+000   2.9978E-004 
  3.414931496E+011   2.5492E-002   1.3042E+004   5.9135E-013  -3.3442E-010   2.3543E-007   1.2410E-006   1.5690E-009   0.0000E+000   1.4780E-006   4.5950E-004   4.6863E-002   1.2351E+000   2.1271E-003   1.2493E-003   0.0000E+000   1.2854E+000   2.8471E-004 
  4.166800967E+011   3.1480E-002   1.3004E+004   5.9135E-013  -3.8108E-010   2.3521E-007   1.2412E-006   1.5719E-009   0.0000E+000   1.4780E-006   4.5950E-004   4.6777E-002   1.2342E+000   5.6650E-004   1.2504E-003   0.0000E+000   1.2828E+000   2.8178E-004 
  5.524792842E+011   4.2301E-002   1.2991E+004   5.9135E-013  -4.6997E-010   2.3513E-007   1.2413E-006   1.5730E-009   0.0000E+000   1.4780E-006   4.5950E-004   4.6744E-002   1.2338E+000   5.3304E-005   1.2509E-003   0.0000E+000   1.2819E+000   2.7976E-004 
  6.970246516E+011   5.3822E-002   1.2989E+004   5.9135E-013  -5.6895E-010   2.3510E-007   1.2413E-006   1.5733E-009   0.0000E+000   1.4780E-006   4.5950E-004   4.6734E-002   1.2337E+000   5.2462E-006   1.2510E-003   0.0000E+000   1.2817E+000   2.7950E-004 
  7.646357559E+011   5.9211E-002   1.2989E+004   5.9135E-013  -6.1635E-010   2.3509E-007   1.2413E-006   1.5735E-009   0.0000E+000   1.4780E-006   4.5950E-004   4.6731E-002   1.2337E+000   2.2631E-006   1.2511E-003   0.0000E+000   1.2817E+000   2.7948E-004 
